Region,Resource,Zone,Cluster,R_ID,SubsidyRevenue
NE,natural_gas_ccs,1,1,1,0.0
NE,solar_pv,1,1,2,0.0
NE,onshore_wind,1,1,3,0.0
NE,battery,1,0,4,0.0
NE,offshore_wind,1,1,5,0.0
NE,natural_gas,1,1,6,0.0
NE,nuclear,1,1,7,0.0
NE,fusion,1,1,8,0.0
