Imports,Net Electric,Gross Electric,Recirc Power,Salt Heating,Fixed plant power,Var plant power,Reactor Thermal power,Turbine Thermal input,Tritium inventory,Tritium exports,Deuterium inventory,Deuterium imports,Commitment State,Storage Inventory,Charge per Hour,Discharge per Hour,Net charge rate
9.902186385555499e-8,8152.090472729364,11050.668995308899,2898.5785225795366,1.951401872167742e-7,377.55827580694483,2141.4437604293194,25697.335404085992,27626.67248827225,0.005712109503266113,25697.603976374718,0.005534826612536615,25697.350446837496,37.755827580694486,1.7666749311994668e6,7475.74349054942,9441.140340734364,1965.396850184944
9.91887498447703e-8,7342.23268983314,10237.087262783834,2894.854572950693,1.951881882340738e-7,377.0001150860932,2138.2779715212796,25659.345921993725,25592.71815695958,0.005710244867209368,25659.608481080082,0.005537758031020644,25659.977507180356,37.70001150860932,1.7667054991985022e6,8483.92702842601,8453.35902939051,-30.56799903549836
1.001371729631742e-7,6600.67200142629,9498.85791192576,2898.1859104994683,1.9518176675131818e-7,377.4994295218324,2141.1099946343215,25693.330212943943,23747.144779814396,0.005710801629761317,25693.24497409862,0.005541011441892259,25694.031172606898,37.74994295218324,1.7686156248656332e6,9444.344132888,7534.2184657571,-1910.1256671309002
9.932853063021486e-8,6396.577761238194,9296.219530476239,2899.641769238045,1.951878325220286e-7,377.71763955108395,2142.347643343641,25708.182003396494,23240.548826190596,0.005711675423925322,25708.05122693189,0.005540319505650464,25708.03292311922,37.7717639551084,1.7710471982768404e6,9708.282290250692,7276.708879043439,-2431.5734112072532
9.932111372628339e-8,5981.54422595172,8881.491804755338,2899.947578803617,1.9517851288464953e-7,377.76347552628886,2142.607616934017,25711.30168772888,22203.72951188834,0.005711283285210691,25711.352743805597,0.005540300843449466,25711.29766688717,37.776347552628884,1.7745187106866823e6,10239.236112510636,6767.723702668753,-3471.5124098418837
9.751036413238612e-8,6000.588325496232,8899.160827169973,2898.5725016737397,1.9514697376624194e-7,377.5573733630327,2141.4386419674274,25697.273982518724,22247.90206792493,0.0057093055743249535,25697.552783966665,0.0055428368572334194,25697.820376268974,37.75573733630327,1.7779320228352775e6,10199.886139573688,6786.573990978574,-3413.3121485951133
9.767107566384047e-8,5766.5518574220605,8662.608126752013,2896.05626932995,1.951418000062166e-7,377.18023020974556,2139.29955277693,25671.604901965122,21656.520316880025,0.0057067030713653134,25671.97344777929,0.0055438256449702105,25671.817940018434,37.718023020974556,1.781911047654364e6,10488.15038539453,6509.125566308124,-3979.0248190864068
9.822700910817946e-8,5473.803195235581,8372.494233542973,2898.6910383073905,1.9513420993809584e-7,377.57514010167483,2141.539411862449,25698.483221742677,20931.23558385743,0.005704629911683506,25698.77573728506,0.0055468275756472745,25699.129999047676,37.75751401016748,1.7866422355262502e6,10873.604135072723,6142.41626318617,-4731.187871886553
9.472739551727179e-8,5959.130594569369,8859.879384365287,2900.7487897959163,1.9509985568304003e-7,377.88356427368615,2143.288739178998,25719.475157938043,22149.698460913212,0.005702946548696661,25719.711686612616,0.005549845951388747,25720.125478394297,37.78835642736861,1.7901759524572766e6,10258.824139712227,6725.107208686126,-3533.7169310261015
9.112836348847685e-8,7122.801130965126,10022.399358696746,2899.5982277316175,1.951051635066185e-7,377.7111133549021,2142.3106280334778,25707.737819496862,25055.998396741863,0.0057006290131217715,25708.065439644266,0.0055509560634412185,25707.976997332324,37.77111133549021,1.790791632114033e6,8798.624455983005,8182.944799226725,-615.6796567562797
