Resource,ERC_REST_biomass_1,ERC_REST_conventional_hydroelectric_1,NaturalGas_CCAvgCF_Moderate,NaturalGas_CTAvgCF_Moderate,NaturalGas_CCCCSAvgCF_Moderate,NaturalGas_CCS100_Moderate,ERC_nuclear_1,LandbasedWind_Class3_Moderate_130,UtilityPV_Class1_Moderate_100_0.2,Liion_Moderate,TEGS,Total
Zone,1,1,1,1,1,1,1,1,1,1,1,0
t5372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t5373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t5374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t5375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t5376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t5377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t5378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t5379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t5380,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t5381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t5382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t5383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t5384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t5385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t5386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3811.7666290630514,0.0,3811.7666290630514
t5387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14210.952020194607,0.0,14210.952020194607
t5388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15147.3454046772,0.0,15147.3454046772
t5389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15200.45984954196,0.0,15200.45984954196
t5390,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11674.40041266533,0.0,11674.40041266533
t5391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14262.545198042428,0.0,14262.545198042428
t5392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12490.76361598842,0.0,12490.76361598842
t5393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11350.524812163203,0.0,11350.524812163203
t5394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4698.205112983269,0.0,4698.205112983269
