Region,Resource,Zone,Cluster,AnnualSum
ERC_REST,ERC_REST_biomass_1,1,1,1.7550000233171778e9
ERC_REST,ERC_REST_conventional_hydroelectric_1,1,1,2.4219267766215333e-9
ERC_REST,NaturalGas_CCAvgCF_Moderate,1,1,5.574224402087446e8
ERC_REST,NaturalGas_CTAvgCF_Moderate,1,1,2.2038087613723054e9
ERC_REST,NaturalGas_CCCCSAvgCF_Moderate,1,1,1.8265069503515327e10
ERC_REST,NaturalGas_CCS100_Moderate,1,1,0.0
ERC_REST,ERC_nuclear_1,1,1,-3.883125161558176e-5
ERC_REST,LandbasedWind_Class3_Moderate_130,1,1,4.361942969031072e9
ERC_REST,UtilityPV_Class1_Moderate_100_0.2,1,1,6.240577643006648e9
ERC_REST,Liion_Moderate,1,1,3.0053452866252046e9
ERC_REST,TEGS,1,1,0.0
