Time_Index,res_hydro_1,natural_gas_ccs_2,solar_pv_2,comm_solar_pv_2,res_solar_pv_2,onshore_wind_2,battery_2,fixed_offshore_wind_2,float_offshore_wind_2,natural_gas_2,nuclear_2,ror_hydro_2,pumped_hydro_2,fusion_2
1,0.262,1,0,0,0,0.672463244,1,0.81,0.81,1,1,0.552743642,1,1
2,0.262,1,0,0,0,0.673093594,1,0.81,0.81,1,1,0.552743642,1,1
3,0.262,1,0,0,0,0.638200833,1,0.81,0.81,1,1,0.552743642,1,1
4,0.262,1,0,0,0,0.558843113,1,0.81,0.81,1,1,0.552743642,1,1
5,0.262,1,0,0,0,0.680754837,1,0.81,0.81,1,1,0.552743642,1,1
6,0.262,1,0,0,0,0.634062968,1,0.81,0.81,1,1,0.552743642,1,1
7,0.262,1,0,0,0,0.609758963,1,0.81,0.81,1,1,0.552743642,1,1
8,0.262,1,0.072079627,0.041307171,0.037980419,0.543743875,1,0.81,0.81,1,1,0.552743642,1,1
9,0.262,1,0.3247055,0.186081229,0.171094821,0.584152637,1,0.81,0.81,1,1,0.552743642,1,1
10,0.262,1,0.546141986,0.312981369,0.287774816,0.64954805,1,0.81,0.81,1,1,0.552743642,1,1
11,0.262,1,0.754431765,0.432347435,0.397527507,0.609419734,1,0.81,0.81,1,1,0.552743642,1,1
12,0.262,1,0.790262689,0.45288131,0.416407648,0.584103313,1,0.805216054,0.805216054,1,1,0.552743642,1,1
13,0.262,1,0.794461483,0.455287542,0.418620089,0.491223308,1,0.793539147,0.793539147,1,1,0.552743642,1,1
14,0.262,1,0.796067197,0.45620774,0.419466177,0.478777107,1,0.744485335,0.744485335,1,1,0.552743642,1,1
15,0.262,1,0.614941008,0.352408501,0.324026608,0.485430576,1,0.655529191,0.655529191,1,1,0.552743642,1,1
16,0.262,1,0.31507279,0.180560945,0.166019124,0.387054065,1,0.534276792,0.534276792,1,1,0.552743642,1,1
17,0.262,1,0,0,0,0.336832427,1,0.496169976,0.496169976,1,1,0.552743642,1,1
18,0.262,1,0,0,0,0.328035926,1,0.422710764,0.422710764,1,1,0.552743642,1,1
19,0.262,1,0,0,0,0.391696364,1,0.406587669,0.406587669,1,1,0.552743642,1,1
20,0.262,1,0,0,0,0.358139202,1,0.420355469,0.420355469,1,1,0.552743642,1,1
21,0.262,1,0,0,0,0.337589807,1,0.46015311,0.46015311,1,1,0.552743642,1,1
22,0.262,1,0,0,0,0.399540327,1,0.452695929,0.452695929,1,1,0.552743642,1,1
23,0.262,1,0,0,0,0.360889663,1,0.396469143,0.396469143,1,1,0.552743642,1,1
24,0.262,1,0,0,0,0.284861132,1,0.3485156,0.3485156,1,1,0.552743642,1,1
25,0.262,1,0,0,0,0.400389907,1,0.302473375,0.302473375,1,1,0.552743642,1,1
26,0.262,1,0,0,0,0.307167785,1,0.266267497,0.266267497,1,1,0.552743642,1,1
27,0.262,1,0,0,0,0.290346853,1,0.22560831,0.22560831,1,1,0.552743642,1,1
28,0.262,1,0,0,0,0.28279637,1,0.232694606,0.232694606,1,1,0.552743642,1,1
29,0.262,1,0,0,0,0.2509514,1,0.273024861,0.273024861,1,1,0.552743642,1,1
30,0.262,1,0,0,0,0.243827683,1,0.290769955,0.290769955,1,1,0.552743642,1,1
31,0.262,1,0,0,0,0.298643169,1,0.282896179,0.282896179,1,1,0.552743642,1,1
32,0.262,1,0.057309787,0.032842916,0.030197849,0.334817546,1,0.26881638,0.26881638,1,1,0.552743642,1,1
33,0.262,1,0.300934667,0.172458713,0.158569421,0.317078152,1,0.304525617,0.304525617,1,1,0.552743642,1,1
34,0.262,1,0.541026561,0.310049837,0.28507938,0.220501601,1,0.323395272,0.323395272,1,1,0.552743642,1,1
35,0.262,1,0.750898165,0.43032241,0.395665572,0.20810208,1,0.339540252,0.339540252,1,1,0.552743642,1,1
36,0.262,1,0.80147429,0.45930642,0.422315299,0.204978244,1,0.357943707,0.357943707,1,1,0.552743642,1,1
37,0.262,1,0.807507298,0.462763798,0.42549423,0.224540974,1,0.343480588,0.343480588,1,1,0.552743642,1,1
38,0.262,1,0.806664375,0.462280738,0.425050075,0.21941596,1,0.321311643,0.321311643,1,1,0.552743642,1,1
