Time_Index,res_hydro_1,natural_gas_ccs_2,solar_pv_2,onshore_wind_2,battery_2,fixed_offshore_wind_2,natural_gas_2,nuclear_2,ror_hydro_2,pumped_hydro_2,fusion_2,float_offshore_wind_2,commercial_pv_2,residential_pv_2
47,0.262,1,0.0,0.364509596,1,0.593257901,1,1,0.552743642,1,1,0.593257901,0.0,0.0
48,0.262,1,0.0,0.32330345,1,0.705264628,1,1,0.552743642,1,1,0.705264628,0.0,0.0
49,0.262,1,0.0,0.40515304,1,0.734913306,1,1,0.552743642,1,1,0.734913306,0.0,0.0
50,0.262,1,0.0,0.38805797,1,0.76797068,1,1,0.552743642,1,1,0.76797068,0.0,0.0
51,0.262,1,0.0,0.354330008,1,0.780740792,1,1,0.552743642,1,1,0.780740792,0.0,0.0
52,0.262,1,0.0,0.323203659,1,0.737332297,1,1,0.552743642,1,1,0.737332297,0.0,0.0
53,0.262,1,0.0,0.225696588,1,0.653347177,1,1,0.552743642,1,1,0.653347177,0.0,0.0
54,0.262,1,0.0,0.230833736,1,0.604221369,1,1,0.552743642,1,1,0.604221369,0.0,0.0
55,0.262,1,0.0,0.267934648,1,0.505410193,1,1,0.552743642,1,1,0.505410193,0.0,0.0
56,0.262,1,0.013925289,0.315149606,1,0.418055053,1,1,0.552743642,1,1,0.418055053,0.0081562407,0.007410243074999999
57,0.262,1,0.306066343,0.310925835,1,0.334049281,1,1,0.552743642,1,1,0.334049281,0.17926742947142857,0.16287101823928568
58,0.262,1,0.536132228,0.190214083,1,0.28781147,1,1,0.552743642,1,1,0.28781147,0.3140203049714286,0.28529893561428565
59,0.262,1,0.758068968,0.117148694,1,0.218620341,1,1,0.552743642,1,1,0.218620341,0.44401182411428564,0.40340098654285705
60,0.262,1,0.61929589,0.10594286,1,0.287060301,1,1,0.552743642,1,1,0.287060301,0.36273044985714276,0.32955388432142846
61,0.262,1,0.728606469,0.108873923,1,0.186165959,1,1,0.552743642,1,1,0.186165959,0.4267552175571428,0.3877227281464285
62,0.262,1,0.581310749,0.04981997,1,0.185777805,1,1,0.552743642,1,1,0.185777805,0.3404820101285714,0.3093403628607142
63,0.262,1,0.532100307,0.049567028,1,0.122613428,1,1,0.552743642,1,1,0.122613428,0.3116587512428571,0.28315337765357135
64,0.262,1,0.197205013,0.040136048,1,0.165521499,1,1,0.552743642,1,1,0.165521499,0.11550579332857142,0.10494123906071427
65,0.262,1,0.0,0.050619253,1,0.1486055,1,1,0.552743642,1,1,0.1486055,0.0,0.0
66,0.262,1,0.0,0.05863347,1,0.179914924,1,1,0.552743642,1,1,0.179914924,0.0,0.0
67,0.262,1,0.0,0.128847437,1,0.184387716,1,1,0.552743642,1,1,0.184387716,0.0,0.0
68,0.262,1,0.0,0.242856034,1,0.177536209,1,1,0.552743642,1,1,0.177536209,0.0,0.0
69,0.262,1,0.0,0.323742064,1,0.166688216,1,1,0.552743642,1,1,0.166688216,0.0,0.0
70,0.262,1,0.0,0.256855583,1,0.136879371,1,1,0.552743642,1,1,0.136879371,0.0,0.0
71,0.262,1,0.0,0.34826403,1,0.249842435,1,1,0.552743642,1,1,0.249842435,0.0,0.0
72,0.262,1,0.0,0.325657793,1,0.25100815,1,1,0.552743642,1,1,0.25100815,0.0,0.0
73,0.262,1,0.0,0.252605791,1,0.475347719,1,1,0.552743642,1,1,0.475347719,0.0,0.0
74,0.262,1,0.0,0.3705744,1,0.603758674,1,1,0.552743642,1,1,0.603758674,0.0,0.0
75,0.262,1,0.0,0.477790765,1,0.583904071,1,1,0.552743642,1,1,0.583904071,0.0,0.0
76,0.262,1,0.0,0.374209398,1,0.563609714,1,1,0.552743642,1,1,0.563609714,0.0,0.0
77,0.262,1,0.0,0.364745565,1,0.554655485,1,1,0.552743642,1,1,0.554655485,0.0,0.0
78,0.262,1,0.0,0.328146251,1,0.483763254,1,1,0.552743642,1,1,0.483763254,0.0,0.0
79,0.262,1,0.0,0.317224268,1,0.60085533,1,1,0.552743642,1,1,0.60085533,0.0,0.0
80,0.262,1,0.007144727,0.315551654,1,0.674797266,1,1,0.552743642,1,1,0.674797266,0.004184768671428571,0.0038020154392857134
81,0.262,1,0.146146387,0.343625774,1,0.751621293,1,1,0.552743642,1,1,0.751621293,0.08560002667142855,0.07777075593928569
82,0.262,1,0.386646747,0.346276559,1,0.748564789,1,1,0.552743642,1,1,0.748564789,0.22646452324285712,0.2057513046535714
83,0.262,1,0.720025368,0.222596971,1,0.73290198,1,1,0.552743642,1,1,0.73290198,0.4217291441142857,0.38315635654285707
84,0.262,1,0.817688006,0.212451229,1,0.580548043,1,1,0.552743642,1,1,0.580548043,0.47893154637142854,0.4351268317642856
85,0.262,1,0.647533834,0.40154759,1,0.561883147,1,1,0.552743642,1,1,0.561883147,0.3792698170571428,0.34458050452142847
