Time_Index,res_hydro_1,natural_gas_ccs_2,solar_pv_2,comm_solar_pv_2,res_solar_pv_2,onshore_wind_2,battery_2,fixed_offshore_wind_2,float_offshore_wind_2,natural_gas_2,nuclear_2,ror_hydro_2,pumped_hydro_2,fusion_2
17521,0.262,1,0.0,0.0,0.0,0.595016577,1,0.81,0.81,1,1,0.552743642,1,1
17522,0.262,1,0.0,0.0,0.0,0.474466104,1,0.81,0.81,1,1,0.552743642,1,1
17523,0.262,1,0.0,0.0,0.0,0.522360736,1,0.81,0.81,1,1,0.552743642,1,1
17524,0.262,1,0.0,0.0,0.0,0.447870255,1,0.81,0.81,1,1,0.552743642,1,1
17525,0.262,1,0.0,0.0,0.0,0.418605302,1,0.809542519,0.809542519,1,1,0.552743642,1,1
17526,0.262,1,0.0,0.0,0.0,0.375246525,1,0.804374275,0.804374275,1,1,0.552743642,1,1
17527,0.262,1,0.0,0.0,0.0,0.417960127,1,0.767266239,0.767266239,1,1,0.552743642,1,1
17528,0.262,1,0.006029667,0.003455463,0.003177171,0.442160444,1,0.557715183,0.557715183,1,1,0.552743642,1,1
17529,0.262,1,0.141173049,0.080903017,0.074387337,0.395949228,1,0.329988905,0.329988905,1,1,0.552743642,1,1
17530,0.262,1,0.308140462,0.176588188,0.16236632,0.337989997,1,0.249842428,0.249842428,1,1,0.552743642,1,1
17531,0.262,1,0.421570963,0.24159259,0.222135469,0.316639508,1,0.256645392,0.256645392,1,1,0.552743642,1,1
17532,0.262,1,0.443953648,0.254419591,0.233929422,0.225008687,1,0.275615304,0.275615304,1,1,0.552743642,1,1
17533,0.262,1,0.346246491,0.198425874,0.182445266,0.212240312,1,0.445579456,0.445579456,1,1,0.552743642,1,1
17534,0.262,1,0.230339865,0.132002461,0.12137139,0.181932391,1,0.543720344,0.543720344,1,1,0.552743642,1,1
17535,0.262,1,0.116582768,0.066810894,0.061430151,0.263887054,1,0.715423395,0.715423395,1,1,0.552743642,1,1
17536,0.262,1,0.039993156,0.022919155,0.021073317,0.259799582,1,0.731415462,0.731415462,1,1,0.552743642,1,1
17537,0.262,1,0.0,0.0,0.0,0.277411096,1,0.729724482,0.729724482,1,1,0.552743642,1,1
17538,0.262,1,0.0,0.0,0.0,0.316614835,1,0.740132027,0.740132027,1,1,0.552743642,1,1
17539,0.262,1,0.0,0.0,0.0,0.372874844,1,0.77061735,0.77061735,1,1,0.552743642,1,1
17540,0.262,1,0.0,0.0,0.0,0.492870302,1,0.7898418,0.7898418,1,1,0.552743642,1,1
17541,0.262,1,0.0,0.0,0.0,0.553401002,1,0.80862975,0.80862975,1,1,0.552743642,1,1
17542,0.262,1,0.0,0.0,0.0,0.713508065,1,0.81,0.81,1,1,0.552743642,1,1
17543,0.262,1,0.0,0.0,0.0,0.694313186,1,0.81,0.81,1,1,0.552743642,1,1
17544,0.262,1,0.0,0.0,0.0,0.756243369,1,0.81,0.81,1,1,0.552743642,1,1
17545,0.262,1,0.0,0.0,0.0,0.790700934,1,0.81,0.81,1,1,0.552743642,1,1
17546,0.262,1,0.0,0.0,0.0,0.797702109,1,0.81,0.81,1,1,0.552743642,1,1
17547,0.262,1,0.0,0.0,0.0,0.803574392,1,0.81,0.81,1,1,0.552743642,1,1
17548,0.262,1,0.0,0.0,0.0,0.793908708,1,0.81,0.81,1,1,0.552743642,1,1
17549,0.262,1,0.0,0.0,0.0,0.796571769,1,0.81,0.81,1,1,0.552743642,1,1
