Time_Index,natural_gas,solar_pv,onshore_wind,battery,offshore_wind,natural_gas_ccs,nuclear,fusion,ROR_NY,Res_QC
72,1,0,0.1613,1,0.6741,1,1,1,0.552743642,6.26E-05
73,1,0,0.1646,1,0.6847,1,1,1,0.552743642,6.26E-05
74,1,0,0.1171,1,0.6987,1,1,1,0.552743642,6.26E-05
75,1,0,0.1256,1,0.7108,1,1,1,0.552743642,6.26E-05
76,1,0,0.1151,1,0.7383,1,1,1,0.552743642,6.26E-05
77,1,0,0.1035,1,0.7627,1,1,1,0.552743642,6.26E-05
78,1,0,0.1175,1,0.7959,1,1,1,0.552743642,6.26E-05
79,1,0,0.0746,1,0.8138,1,1,1,0.552743642,6.26E-05
80,1,0,0.0501,1,0.8422,1,1,1,0.552743642,6.26E-05
81,1,0,0.036,1,0.8598,1,1,1,0.552743642,6.26E-05
82,1,0,0.0285,1,0.8637,1,1,1,0.552743642,6.26E-05
83,1,0,0.0249,1,0.8659,1,1,1,0.552743642,6.26E-05
84,1,0,0.0218,1,0.8796,1,1,1,0.552743642,6.26E-05
85,1,0.005,0.0196,1,0.8826,1,1,1,0.552743642,6.26E-05
86,1,0.031031,0.0202,1,0.8806,1,1,1,0.552743642,6.26E-05
87,1,0.14318,0.0313,1,0.8779,1,1,1,0.552743642,6.26E-05
88,1,0.22046,0.0403,1,0.8785,1,1,1,0.552743642,6.26E-05
89,1,0.26984,0.0429,1,0.8606,1,1,1,0.552743642,6.26E-05
90,1,0.283319,0.0587,1,0.8622,1,1,1,0.552743642,6.26E-05
91,1,0.28759,0.086,1,0.8476,1,1,1,0.552743642,6.26E-05
92,1,0.241891,0.1208,1,0.8043,1,1,1,0.552743642,6.26E-05
93,1,0.073004,0.1265,1,0.7821,1,1,1,0.552743642,6.26E-05
94,1,0.0034,0.1633,1,0.765,1,1,1,0.552743642,6.26E-05
95,1,0,0.1682,1,0.7516,1,1,1,0.552743642,6.26E-05
96,1,0,0.1628,1,0.7745,1,1,1,0.552743642,6.26E-05
97,1,0,0.1498,1,0.7818,1,1,1,0.552743642,6.26E-05
98,1,0,0.1399,1,0.8097,1,1,1,0.552743642,6.26E-05
99,1,0,0.1877,1,0.8193,1,1,1,0.552743642,6.26E-05
100,1,0,0.1936,1,0.8005,1,1,1,0.552743642,6.26E-05
101,1,0,0.1893,1,0.7573,1,1,1,0.552743642,6.26E-05
102,1,0,0.1791,1,0.7625,1,1,1,0.552743642,6.26E-05
103,1,0,0.1424,1,0.7624,1,1,1,0.552743642,6.26E-05
104,1,0,0.1505,1,0.7705,1,1,1,0.552743642,6.26E-05
105,1,0,0.1493,1,0.7648,1,1,1,0.552743642,6.26E-05
106,1,0,0.1424,1,0.7194,1,1,1,0.552743642,6.26E-05
107,1,0,0.1829,1,0.6936,1,1,1,0.552743642,6.26E-05
108,1,0,0.1241,1,0.6836,1,1,1,0.552743642,6.26E-05
109,1,0.0042,0.1363,1,0.6762,1,1,1,0.552743642,6.26E-05
110,1,0.053738,0.1435,1,0.6798,1,1,1,0.552743642,6.26E-05
111,1,0.123264,0.1431,1,0.7432,1,1,1,0.552743642,6.26E-05
112,1,0.185452,0.1672,1,0.785,1,1,1,0.552743642,6.26E-05
113,1,0.304714,0.2211,1,0.7873,1,1,1,0.552743642,6.26E-05
114,1,0.22831,0.2567,1,0.8129,1,1,1,0.552743642,6.26E-05
115,1,0.156213,0.3866,1,0.847,1,1,1,0.552743642,6.26E-05
116,1,0.048358,0.3669,1,0.8519,1,1,1,0.552743642,6.26E-05
117,1,0.019057,0.3486,1,0.8183,1,1,1,0.552743642,6.26E-05
118,1,0.002399,0.3311,1,0.8067,1,1,1,0.552743642,6.26E-05
119,1,0,0.3128,1,0.7852,1,1,1,0.552743642,6.26E-05
120,1,0,0.4604,1,0.8017,1,1,1,0.552743642,6.26E-05
121,1,0,0.4736,1,0.7953,1,1,1,0.552743642,6.26E-05
122,1,0,0.4984,1,0.8193,1,1,1,0.552743642,6.26E-05
123,1,0,0.5249,1,0.8363,1,1,1,0.552743642,6.26E-05
124,1,0,0.5576,1,0.833,1,1,1,0.552743642,6.26E-05
125,1,0,0.5084,1,0.8203,1,1,1,0.552743642,6.26E-05
126,1,0,0.5713,1,0.8179,1,1,1,0.552743642,6.26E-05
127,1,0,0.5942,1,0.8178,1,1,1,0.552743642,6.26E-05
128,1,0,0.6071,1,0.8563,1,1,1,0.552743642,6.26E-05
129,1,0,0.6125,1,0.8564,1,1,1,0.552743642,6.26E-05
130,1,0,0.6452,1,0.858,1,1,1,0.552743642,6.26E-05
