Region,Resource,Zone,Cluster,AnnualSum
NENGREST,NENGREST_biomass_1,1,1,0.0
NENGREST,NENGREST_conventional_hydroelectric_1,1,1,0.0
NENGREST,NENGREST_hydroelectric_pumped_storage_1,1,1,0.0
NENGREST,NaturalGas_CCAvgCF_Moderate,1,1,3.308845417899984e8
NENGREST,NaturalGas_CTAvgCF_Moderate,1,1,1.1903528283166939e8
NENGREST,NaturalGas_CCCCSAvgCF_Moderate,1,1,3.272610908190569e9
NENGREST,NaturalGas_CCS100_Moderate,1,1,1.481882493952349e-9
NENGREST,NENGREST_nuclear_1,1,1,0.0
NENGREST,OffShoreWind_Class3_Moderate_fixed_1,1,1,0.0
NENGREST,LandbasedWind_Class3_Moderate_130,1,1,7.11382392294486e7
NENGREST,UtilityPV_Class1_Moderate_100_0.2,1,1,1.6787376830103981e9
NENGREST,Liion_Moderate,1,1,9.978989801588018e8
NENGREST,TEGS,1,1,2.3481970616921094e8
