Resource,Zone,THERM,FUSION,MUST_RUN,STOR,FLEX,HYDRO,VRE,LDS,Num_VRE_Bins,New_Build,Existing_Cap_MW,Existing_Cap_MWh,Existing_Charge_Cap_MW,Max_Cap_MW,Max_Cap_MWh,Max_Charge_Cap_MW,Min_Cap_MW,Min_Cap_MWh,Min_Charge_Cap_MW,Inv_Cost_per_MWyr,Inv_Cost_per_MWhyr,Inv_Cost_Charge_per_MWyr,Fixed_OM_Cost_per_MWyr,Fixed_OM_Cost_per_MWhyr,Fixed_OM_Cost_Charge_per_MWyr,Var_OM_Cost_per_MWh,Var_OM_Cost_per_MWh_In,Heat_Rate_MMBTU_per_MWh,Fuel,Cap_Size,Start_Cost_per_MW,Start_Fuel_MMBTU_per_MW,Up_Time,Down_Time,Ramp_Up_Percentage,Ramp_Dn_Percentage,Hydro_Energy_to_Power_Ratio,Min_Power,Self_Disch,Eff_Up,Eff_Down,Min_Duration,Max_Duration,Max_Flexible_Demand_Advance,Max_Flexible_Demand_Delay,Flexible_Demand_Energy_Eff,Reg_Max,Rsv_Max,Reg_Cost,Rsv_Cost,MinCapTag,MinCapTag_1,MinCapTag_2,MinCapTag_3,MGA,Resource_Type,CapRes_1,ESR_1,ESR_2,region,cluster,region,cluster
natural_gas_3,3,1,0,0,0,0,0,0,0,0,1,0,0,0,-1,-1,-1,0,0,0,69939.45161,0,0,28000,0,0,2,0,6.36,NG,500,64.964,0.2,4,4,1,1,1,0.3,0,1,1,0,0,0,0,1,0.053333333,0.106666667,0,0,2,0,0,0,1,natural_gas,0.93,0,0,NH,1,NE,1
nuclear_3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,370484.5151,0,0,146000,0,0,3,0,10.44,nuclear,2156,463.82,0,36,36,0.25,0.25,1,0.5,0,1,1,0,0,0,0,1,0.020833333,0.041666667,0,0,5,0,0,0,1,nuclear,0.93,0,1,NH,1,NE,1
ror_hydro_3,3,0,0,1,0,0,0,0,0,0,0,509.35,0,0,-1,-1,-1,0,0,0,0,0,0,29312,0,0,0,0,0,None,1,0,0,0,0,1,1,1,0.05,0,1,1,0,0,0,0,1,0.020833333,0.041666667,0,0,1,0,0,0,1,ror_hydro,0.95,0,0,NH,1,NE,1
pumped_hydro_3,3,1,0,0,1,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,7280,0,0,0,0,0,None,1,0,0,0,0,1,1,1,0.52,0,0.9,0.9,1,12,0,0,1,0.020833333,0.041666667,0,0,1,0,0,0,1,pumped_hydro,0.95,0,0,NH,,NE,1
fusion_3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,345501.234,0,0,51825.1851,0,0,2,0,8.53,None,285.86,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1,0.020833333,0.041666667,0,0,2,0,0,0,1,fusion,0.93,0,0,NH,1,NE,1
natural_gas_ccs_4,4,1,0,0,0,0,0,0,0,0,1,0,0,0,-1,-1,-1,0,0,0,152953.9712,0,0,67000,0,0,6,0,7.16,NGCCS,500,72.838,0.2,4,4,1,1,1,0.5,0,1,1,0,0,0,0,1,0.053333333,0.106666667,0,0,2,0,0,0,1,natural_gas_ccs,0.93,0,0,VT,1,NE,1
solar_pv_4,4,0,0,0,0,0,0,1,0,1,1,0,0,0,-1,-1,-1,0,0,0,42493.07482,0,0,13000,0,0,0,0,0,None,100,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1,0.083333333,0.166666667,0,0,7,1,0,0,1,solar_pv,0.8,1,1,VT,1,NE,0
onshore_wind_4,4,0,0,0,0,0,0,1,0,1,1,0,0,0,-1,-1,-1,0,0,0,82503.17679,0,0,33000,0,0,0,0,0,None,200,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1,0.083333333,0.166666667,0,0,6,0,1,0,1,onshore_wind,0.8,1,1,VT,1,NE,1
battery_4,4,0,0,0,1,0,0,0,0,0,1,0,0,0,-1,-1,-1,0,0,0,18737.70499,11110.79994,0,3000,5000,0,0,0,0,None,60,0,0,0,0,1,1,1,0,0,0.92,0.92,4,4,0,0,1,0.083333333,0.166666667,0,0,12,0,0,1,0,battery,0.95,0,0,VT,0,NE,1
offshore_wind_4,4,0,0,0,0,0,0,1,0,1,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,70000,0,0,0,0,0,None,1000,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1,0.083333333,0.166666667,0,0,8,1,1,0,1,offshore_wind,0.8,1,1,VT,1,NE,1
natural_gas_4,4,1,0,0,0,0,0,0,0,0,1,0,0,0,-1,-1,-1,0,0,0,68607.27158,0,0,28000,0,0,2,0,6.36,NG,500,64.964,0.2,4,4,1,1,1,0.3,0,1,1,0,0,0,0,1,0.053333333,0.106666667,0,0,2,0,0,0,1,natural_gas,0.93,0,0,VT,1,NE,1
nuclear_4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,383835.3084,0,0,146000,0,0,3,0,10.44,nuclear,2156,463.82,0,36,36,0.25,0.25,1,0.5,0,1,1,0,0,0,0,1,0.020833333,0.041666667,0,0,5,0,0,0,1,nuclear,0.93,0,1,VT,1,NE,1
ror_hydro_4,4,0,0,1,0,0,0,0,0,0,0,332.45,0,0,-1,-1,-1,0,0,0,0,0,0,29312,0,0,0,0,0,None,1,0,0,0,0,1,1,1,0.05,0,1,1,0,0,0,0,1,0.020833333,0.041666667,0,0,1,0,0,0,1,ror_hydro,0.95,0,0,VT,1,NE,1
pumped_hydro_4,4,1,0,0,1,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,7280,0,0,0,0,0,None,1,0,0,0,0,1,1,1,0.52,0,0.9,0.9,1,12,0,0,1,0.020833333,0.041666667,0,0,1,0,0,0,1,pumped_hydro,0.95,0,0,VT,,NE,1
fusion_4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,342302.1485,0,0,51345.32228,0,0,2,0,8.53,None,285.86,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1,0.020833333,0.041666667,0,0,2,0,0,0,1,fusion,0.93,0,0,VT,1,NE,1
natural_gas_ccs_5,5,1,0,0,0,0,0,0,0,0,1,0,0,0,-1,-1,-1,0,0,0,165069.1373,0,0,67000,0,0,6,0,7.16,NGCCS,500,72.838,0.2,4,4,1,1,1,0.5,0,1,1,0,0,0,0,1,0.053333333,0.106666667,0,0,2,0,0,0,1,natural_gas_ccs,0.93,0,0,MA,1,NE,0
solar_pv_5,5,0,0,0,0,0,0,1,0,1,1,0,0,0,-1,-1,-1,0,0,0,48188.02299,0,0,13000,0,0,0,0,0,None,100,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1,0.083333333,0.166666667,0,0,7,1,0,0,1,solar_pv,0.8,1,1,MA,1,NE,1
onshore_wind_5,5,0,0,0,0,0,0,1,0,1,1,0,0,0,-1,-1,-1,0,0,0,80746.80664,0,0,33000,0,0,0,0,0,None,200,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1,0.083333333,0.166666667,0,0,6,0,1,0,1,onshore_wind,0.8,1,1,MA,1,NE,1
battery_5,5,0,0,0,1,0,0,0,0,0,1,0,0,0,-1,-1,-1,0,0,0,17696.72138,10493.53328,0,3000,5000,0,0,0,0,None,60,0,0,0,0,1,1,1,0,0,0.92,0.92,4,4,0,0,1,0.083333333,0.166666667,0,0,12,0,0,1,0,battery,0.95,0,0,MA,0,NE,1
offshore_wind_5,5,0,0,0,0,0,0,1,0,1,1,5632,0,0,-1,-1,-1,0,0,0,220193.3171,0,0,70000,0,0,0,0,0,None,1000,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1,0.083333333,0.166666667,0,0,8,1,1,0,1,offshore_wind,0.8,1,1,MA,1,NE,1
natural_gas_5,5,1,0,0,0,0,0,0,0,0,1,0,0,0,-1,-1,-1,0,0,0,79930.80184,0,0,28000,0,0,2,0,6.36,NG,500,64.964,0.2,4,4,1,1,1,0.3,0,1,1,0,0,0,0,1,0.053333333,0.106666667,0,0,2,0,0,0,1,natural_gas,0.93,0,0,MA,1,NE,1
nuclear_5,5,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,400523.8001,0,0,146000,0,0,3,0,10.44,nuclear,2156,463.82,0,36,36,0.25,0.25,1,0.5,0,1,1,0,0,0,0,1,0.020833333,0.041666667,0,0,5,0,0,0,1,nuclear,0.93,0,1,MA,1,NE,1
ror_hydro_5,5,0,0,1,0,0,0,0,0,0,0,267.25,0,0,-1,-1,-1,0,0,0,0,0,0,29312,0,0,0,0,0,None,1,0,0,0,0,1,1,1,0.05,0,1,1,0,0,0,0,1,0.020833333,0.041666667,0,0,1,0,0,0,1,ror_hydro,0.95,0,0,MA,1,NE,1
pumped_hydro_5,5,1,0,0,1,0,0,0,0,0,0,1801,21612,0,-1,-1,-1,0,0,0,0,0,0,7280,0,0,0,0,0,None,1,0,0,0,0,1,1,1,0.52,0,0.9,0.9,1,12,0,0,1,0.020833333,0.041666667,0,0,1,0,0,0,1,pumped_hydro,0.95,0,0,MA,,NE,1
fusion_5,5,1,1,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,387089.3455,0,0,58063.40183,0,0,2,0,8.53,None,285.86,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1,0.020833333,0.041666667,0,0,2,0,0,0,1,fusion,0.93,0,0,MA,1,NE,0
natural_gas_ccs_6,6,1,0,0,0,0,0,0,0,0,1,0,0,0,-1,-1,-1,0,0,0,160525.95,0,0,67000,0,0,6,0,7.16,NGCCS,500,72.838,0.2,4,4,1,1,1,0.5,0,1,1,0,0,0,0,1,0.053333333,0.106666667,0,0,2,0,0,0,1,natural_gas_ccs,0.93,0,0,RI,1,NE,1
solar_pv_6,6,0,0,0,0,0,0,1,0,1,1,0,0,0,-1,-1,-1,0,0,0,45559.58537,0,0,13000,0,0,0,0,0,None,100,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1,0.083333333,0.166666667,0,0,7,1,0,0,1,solar_pv,0.8,1,1,RI,1,NE,1
onshore_wind_6,6,0,0,0,0,0,0,1,0,1,1,0,0,0,-1,-1,-1,0,0,0,80053.50263,0,0,33000,0,0,0,0,0,None,200,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1,0.083333333,0.166666667,0,0,6,0,1,0,1,onshore_wind,0.8,1,1,RI,1,NE,1
battery_6,6,0,0,0,1,0,0,0,0,0,1,0,0,0,-1,-1,-1,0,0,0,17696.72138,10493.53328,0,3000,5000,0,0,0,0,None,60,0,0,0,0,1,1,1,0,0,0.92,0.92,4,4,0,0,1,0.083333333,0.166666667,0,0,12,0,0,1,0,battery,0.95,0,0,RI,0,NE,1
offshore_wind_6,6,0,0,0,0,0,0,1,0,1,1,1400,0,0,-1,-1,-1,0,0,0,135606.8599,0,0,70000,0,0,0,0,0,None,1000,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1,0.083333333,0.166666667,0,0,8,1,1,0,1,offshore_wind,0.8,1,1,RI,1,NE,1
natural_gas_6,6,1,0,0,0,0,0,0,0,0,1,0,0,0,-1,-1,-1,0,0,0,74602.08171,0,0,28000,0,0,2,0,6.36,NG,500,64.964,0.2,4,4,1,1,1,0.3,0,1,1,0,0,0,0,1,0.053333333,0.106666667,0,0,2,0,0,0,1,natural_gas,0.93,0,0,RI,1,NE,1
nuclear_6,6,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,383835.3084,0,0,146000,0,0,3,0,10.44,nuclear,2156,463.82,0,36,36,0.25,0.25,1,0.5,0,1,1,0,0,0,0,1,0.020833333,0.041666667,0,0,5,0,0,0,1,nuclear,0.93,0,1,RI,1,NE,1
ror_hydro_6,6,0,0,1,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,29312,0,0,0,0,0,None,1,0,0,0,0,1,1,1,0.05,0,1,1,0,0,0,0,1,0.020833333,0.041666667,0,0,1,0,0,0,1,ror_hydro,0.95,0,0,RI,1,NE,1
pumped_hydro_6,6,1,0,0,1,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,7280,0,0,0,0,0,None,1,0,0,0,0,1,1,1,0.52,0,0.9,0.9,1,12,0,0,1,0.020833333,0.041666667,0,0,1,0,0,0,1,pumped_hydro,0.95,0,0,RI,,NE,0
fusion_6,6,1,1,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,367894.8325,0,0,55184.22488,0,0,2,0,8.53,None,285.86,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1,0.020833333,0.041666667,0,0,2,0,0,0,1,fusion,0.93,0,0,RI,1,NE,1
natural_gas_ccs_7,7,1,0,0,0,0,0,0,0,0,1,0,0,0,-1,-1,-1,0,0,0,162040.3458,0,0,67000,0,0,6,0,7.16,NGCCS,500,72.838,0.2,4,4,1,1,1,0.5,0,1,1,0,0,0,0,1,0.053333333,0.106666667,0,0,2,0,0,0,1,natural_gas_ccs,0.93,0,0,CT,1,NE,1
solar_pv_7,7,0,0,0,0,0,0,1,0,1,1,0,0,0,-1,-1,-1,0,0,0,47311.87712,0,0,13000,0,0,0,0,0,None,100,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1,0.083333333,0.166666667,0,0,7,1,0,0,1,solar_pv,0.8,1,1,CT,1,NE,1
onshore_wind_7,7,0,0,0,0,0,0,1,0,1,1,0,0,0,-1,-1,-1,0,0,0,79822.40129,0,0,33000,0,0,0,0,0,None,200,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1,0.083333333,0.166666667,0,0,6,0,1,0,1,onshore_wind,0.8,1,1,CT,1,NE,1
battery_7,7,0,0,0,1,0,0,0,0,0,1,0,0,0,-1,-1,-1,0,0,0,17696.72138,10493.53328,0,3000,5000,0,0,0,0,None,60,0,0,0,0,1,1,1,0,0,0.92,0.92,4,4,0,0,1,0.083333333,0.166666667,0,0,12,0,0,1,0,battery,0.95,0,0,CT,0,NE,1
offshore_wind_7,7,0,0,0,0,0,0,1,0,1,1,2304,0,0,-1,-1,-1,0,0,0,135606.8599,0,0,70000,0,0,0,0,0,None,1000,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1,0.083333333,0.166666667,0,0,8,1,1,0,1,offshore_wind,0.8,1,1,CT,1,,
natural_gas_7,7,1,0,0,0,0,0,0,0,0,1,0,0,0,-1,-1,-1,0,0,0,76600.35176,0,0,28000,0,0,2,0,6.36,NG,500,64.964,0.2,4,4,1,1,1,0.3,0,1,1,0,0,0,0,1,0.053333333,0.106666667,0,0,2,0,0,0,1,natural_gas,0.93,0,0,CT,1,,
nuclear_7,7,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,387173.0067,0,0,146000,0,0,3,0,10.44,nuclear,2156,463.82,0,36,36,0.25,0.25,1,0.5,0,1,1,0,0,0,0,1,0.020833333,0.041666667,0,0,5,0,0,0,1,nuclear,0.93,0,1,CT,1,,
ror_hydro_7,7,0,0,1,0,0,0,0,0,0,0,121.1,0,0,-1,-1,-1,0,0,0,0,0,0,29312,0,0,0,0,0,None,1,0,0,0,0,1,1,1,0.05,0,1,1,0,0,0,0,1,0.020833333,0.041666667,0,0,1,0,0,0,1,ror_hydro,0.95,0,0,CT,1,,
pumped_hydro_7,7,1,0,0,1,0,0,0,0,0,0,29.2,350.4,0,-1,-1,-1,0,0,0,0,0,0,7280,0,0,0,0,0,None,1,0,0,0,0,1,1,1,0.52,0,0.9,0.9,1,12,0,0,1,0.020833333,0.041666667,0,0,1,0,0,0,1,pumped_hydro,0.95,0,0,CT,,,
fusion_7,7,1,1,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,374293.0035,0,0,56143.95053,0,0,2,0,8.53,None,285.86,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1,0.020833333,0.041666667,0,0,2,0,0,0,1,fusion,0.93,0,0,CT,1,,
