Region,Resource,Zone,Cluster,AnnualSum
NENGREST,NENGREST_biomass_1,1,1,7.201352776749421e8
NENGREST,NENGREST_conventional_hydroelectric_1,1,1,0.0
NENGREST,NENGREST_hydroelectric_pumped_storage_1,1,1,0.0
NENGREST,NaturalGas_CCAvgCF_Moderate,1,1,7.254000213034452e7
NENGREST,NaturalGas_CTAvgCF_Moderate,1,1,1.0808383824360454e8
NENGREST,NaturalGas_CCCCSAvgCF_Moderate,1,1,2.665925598270497e9
NENGREST,NaturalGas_CCS100_Moderate,1,1,3.8500817931939404e-8
NENGREST,NENGREST_nuclear_1,1,1,0.0
NENGREST,OffShoreWind_Class3_Moderate_fixed_1,1,1,0.0
NENGREST,LandbasedWind_Class3_Moderate_130,1,1,1.597583697158604e8
NENGREST,UtilityPV_Class1_Moderate_100_0.2,1,1,1.9028331494024167e9
NENGREST,Liion_Moderate,1,1,8.947691630206954e8
NENGREST,TEGS,1,1,5.421572827448628e8
