cost_type,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
fixed,12437603321.673904,12252920919.3718,12638506579.217638,12693580334.282509,12719079700.338951,12005125497.028912,12487455711.388609,12913793894.759363,12653412596.592978,12360789326.57524,12771040303.554718,12357599795.464142,12335852672.941582,12883065530.179222,12664209553.948835,12565428096.875938,12731364113.26975,12593351111.425564,12788083343.425268,12796913496.205936
variable,1337500718.6928296,1150180100.386073,1268074459.6846144,1359155481.1028385,1403846903.4186196,1279780158.2833045,1310315739.9867835,1443499378.2546945,1268789892.6071925,1343487684.4957304,1424000462.9802008,1390897112.4062896,1323701403.7578883,1415239529.498526,1341981028.841416,1354489099.2215831,1331191325.696256,1461255236.933591,1362607803.3306358,1399125116.8171434
NSE,0.7603462693882299,2.06596413201198,1.299999891640558,4.042750324337917,0.3969004700585674,0.3017359809319457,2.7707281058199102,1.3605285574147614,1.9891234236407784,1.627785415848603,7.14089119853378,3.7902350219298464,1.053191597216277,0.2634348316429641,2.591600813123818,1.7870763037248911,2.080207160076444,0.5172749770152827,6.295152714026107,1.098898967749632
