cost_type,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
fixed,14825679976.714165,13522303799.39836,14607269147.835146,14891941289.222578,15407116323.637186,13672649747.051956,14337911774.825165,15746521676.473532,14475724152.931948,14392999579.509438,15285301938.474924,14599463635.394367,14253197260.108212,16082096152.633003,14592244187.549349,14811690001.790518,15312906398.462776,15340707293.09827,15129141248.27254,16483060441.133003
variable,981626652.273082,929292308.0202084,908480455.7300544,1013851257.109308,1011683599.5370896,991817555.8330168,983196529.4368938,1049159185.2085996,1008298208.8998306,999248820.3449084,1002585777.0838816,1016795848.1579767,967291912.688084,1017580085.5347435,960303303.2253164,995374033.1961457,1030786800.4137847,1078995587.81962,1035469790.9042996,941193040.8335268
NSE,0.0003073286535419,2.964116185782424e-05,0.0011347747679305,5.567640652113215e-05,2.5375196017126264e-05,5.94370673672034e-05,1.6571346012888713e-06,0.0006426094035586,4.445143016907492e-05,0.0001841498935874,4.7152193066627056e-05,0.0002609861547184,9.877411299462566e-05,2.093431722558292e-05,3.872400846620463e-06,1.8034525953538616e-05,5.050175027756651e-05,2.5901091664418645e-06,1.07071119929686e-06,3.015403870494308e-07
