Region,Resource,Zone,Cluster,AnnualSum
NENGREST,NENGREST_biomass_1,1,1,0.0
NENGREST,NENGREST_conventional_hydroelectric_1,1,1,0.0
NENGREST,NENGREST_hydroelectric_pumped_storage_1,1,1,0.0
NENGREST,NaturalGas_CCAvgCF_Moderate,1,1,2.760977500205574e8
NENGREST,NaturalGas_CTAvgCF_Moderate,1,1,1.5002101057993832e8
NENGREST,NaturalGas_CCCCSAvgCF_Moderate,1,1,3.5536151286954556e9
NENGREST,NaturalGas_CCS100_Moderate,1,1,-2.202212693568418e-9
NENGREST,NENGREST_nuclear_1,1,1,0.0
NENGREST,OffShoreWind_Class3_Moderate_fixed_1,1,1,0.0
NENGREST,LandbasedWind_Class3_Moderate_130,1,1,2.8796909084488068e7
NENGREST,UtilityPV_Class1_Moderate_100_0.2,1,1,1.4958014374674673e9
NENGREST,Liion_Moderate,1,1,1.0687866499169372e9
NENGREST,TEGS,1,1,7.451669819444947e7
