Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1,Load_MW_z2,Load_MW_z3,Load_MW_z4,Load_MW_z5,Load_MW_z6,Load_MW_z7
,,,,,,,61,33651.2,4079.81986,6221.43267,2901.29749,11690.0609,4180.20594,7671.00539
,,,,,,,62,33337.7,3915.68488,5942.66963,2773.39887,11564.1888,4041.41565,7473.10472
,,,,,,,63,33759.2,3800.85891,5718.00779,2659.22887,11669.3543,3897.80136,7460.22863
,,,,,,,64,35027.5,3863.37902,5728.04639,2676.48121,12361.5992,3843.33131,7799.26871
,,,,,,,65,37310.9,4070.47215,5930.1162,2809.65088,13439.7986,3949.26788,8394.47444
,,,,,,,66,38156.8,4418.4365,6264.33172,2932.16499,14832.4373,4163.42779,9207.42099
,,,,,,,67,37550.7,4401.04847,6209.66888,2924.42093,14892.8904,4242.82279,9410.21147
,,,,,,,68,37446.5,4110.98303,5862.36548,2745.75513,13463.4349,4078.192,8726.62633
,,,,,,,69,36705.7,3972.52654,5666.02495,2649.70888,12961.5341,3892.07732,8531.33164
,,,,,,,70,36100.5,3345.80121,5058.70749,2313.27383,10162.6372,3479.45492,6834.89783
,,,,,,,71,35406.1,3082.50695,4731.72076,2139.5124,9021.56893,3314.82707,6213.50708
,,,,,,,72,32713.0,2906.68243,4459.76855,2017.21523,8375.24426,3107.43413,5803.97925
,,,,,,,73,32839.0,2797.67288,4309.03549,1932.026,7797.43486,2889.72967,5326.14207
,,,,,,,74,33111.5,2690.62175,4167.65768,1879.77899,7383.85802,2772.81454,5085.44549
,,,,,,,75,33493.9,2654.12134,4154.62571,1853.21107,7196.94105,2714.71006,4988.84165
,,,,,,,76,33089.3,2669.53637,4163.92966,1838.36783,7165.7225,2695.05637,5006.52274
,,,,,,,77,33653.8,2695.84943,4251.84146,1863.69579,7218.43466,2750.74778,5065.39934
,,,,,,,78,34809.8,2835.86576,4446.79848,1961.17815,7744.36485,2892.18256,5385.02287
,,,,,,,79,36552.7,3274.54208,4969.86734,2235.16744,9541.85454,3249.44641,6503.76725
,,,,,,,80,37745.0,3940.48441,5785.48695,2593.55058,12180.8666,3666.24045,7948.14516
,,,,,,,81,37981.3,4055.769,5817.29105,2646.17331,12789.5564,3778.30353,8286.22369
,,,,,,,82,37599.5,3995.54768,5690.07534,2606.40617,12537.7302,3802.05031,8083.25839
,,,,,,,83,36997.3,3920.95728,5615.12537,2554.71495,11928.5212,3736.4153,7641.63189
,,,,,,,84,37072.2,3905.02165,5590.35519,2555.49695,12036.1958,3772.77845,7676.80293
,,,,,,,85,36985.9,3904.36633,5596.61825,2537.95812,12216.1015,3736.55108,7731.11709
,,,,,,,86,37133.1,3699.01228,5242.44888,2407.63693,11950.5885,3469.40384,7420.5465
,,,,,,,87,37101.6,3540.73645,4951.52743,2293.48416,12012.6709,3254.42239,7403.40485
,,,,,,,88,37039.7,3632.94684,5017.5792,2299.27805,12805.7412,3165.67837,7829.66364
,,,,,,,89,37359.6,3876.23822,5302.67675,2453.06819,14000.6324,3398.56582,8544.87764
,,,,,,,90,38220.5,4176.81838,5570.59253,2597.62112,15368.8266,3729.09698,9258.05712
,,,,,,,91,37664.6,4149.56213,5454.96514,2582.08312,15310.0221,3800.91921,9271.50889
,,,,,,,92,36898.5,3873.74626,5141.32142,2447.97661,13723.5108,3567.49263,8436.07965
,,,,,,,93,35639.0,3694.02651,4937.0857,2328.7105,13035.7154,3418.24762,8064.12251
,,,,,,,94,35018.1,2971.23303,4235.62357,1956.24016,9750.73225,2938.25454,6210.74682
,,,,,,,95,33394.5,2681.47242,3906.41284,1818.68578,8565.49249,2685.70769,5470.95872
,,,,,,,96,31624.0,2502.35549,3718.98997,1697.5162,7868.86671,2579.7024,5073.76005
,,,,,,,97,30883.7,2292.93293,3478.79969,1575.30075,6994.00505,2425.31187,4617.98626
,,,,,,,98,30355.0,2189.63034,3344.0637,1521.80799,6556.13048,2369.42038,4394.17644
,,,,,,,99,30383.1,2147.43642,3326.97083,1487.57215,6311.01773,2350.13906,4264.89888
,,,,,,,100,29564.4,2152.46684,3321.30078,1466.66785,6246.21854,2352.15788,4252.08461
,,,,,,,101,29527.9,2180.53313,3362.64511,1480.7419,6250.45758,2405.85072,4291.38416
,,,,,,,102,31022.6,2332.59378,3571.62608,1583.25468,6758.49402,2554.72976,4560.25794
,,,,,,,103,33062.2,2761.11059,4083.49817,1852.36996,8359.21984,2883.88774,5566.65233
,,,,,,,104,34206.8,3374.4345,4755.62874,2234.57615,10871.1247,3284.39398,6979.27671
,,,,,,,105,33955.1,3500.63821,4830.26733,2278.95176,11386.7994,3366.48406,7202.92692
,,,,,,,106,32605.5,3450.63241,4814.72097,2223.1044,11217.237,3391.69278,7080.70682
,,,,,,,107,32038.2,3371.64837,4748.70449,2189.48789,10864.8754,3350.06633,6789.96568
,,,,,,,108,31646.9,3401.40829,4776.77612,2192.31899,11233.0142,3422.00877,6905.81044
,,,,,,,109,30938.3,3406.63735,4826.52396,2196.08432,11298.9101,3368.31568,6892.82418
,,,,,,,110,30764.7,3235.67904,4587.25112,2076.85732,11193.7592,3131.26313,6620.88351
,,,,,,,111,30894.3,3140.9123,4366.33338,2017.95806,11397.3165,2917.02446,6570.93134
,,,,,,,112,31987.4,3235.81011,4418.37999,2036.7616,12280.2281,2915.43062,7072.99714
,,,,,,,113,34268.8,3508.73561,4731.6742,2205.98439,13389.7318,3132.33623,7761.49014
,,,,,,,114,35702.5,3825.77752,5127.82001,2392.13935,14622.2756,3375.97504,8489.47547
,,,,,,,115,35550.4,3813.59414,5125.23123,2405.02819,14573.4169,3451.33209,8618.31959
,,,,,,,116,35430.0,3492.08434,4772.36946,2207.55988,12765.555,3269.04304,7727.50302
,,,,,,,117,34848.4,3372.93884,4680.4577,2162.32021,12298.7822,3143.01548,7530.49099
,,,,,,,118,33979.5,2832.81311,4110.1695,1892.96892,9653.81551,2771.26076,6031.16808
,,,,,,,119,32813.9,2616.49066,3825.78217,1749.89836,8496.02427,2602.77979,5397.95246
,,,,,,,120,30936.3,2436.77169,3676.1938,1666.0886,7758.24217,2460.58867,4994.54984
