Resource,natural_gas_ccs,solar_pv,onshore_wind,battery,offshore_wind,natural_gas,nuclear
t87,0.0,0.0,0.0,-112.16941339259539,0.0,0.0,0.0
t88,0.0,0.0,0.0,-112.16941339259539,0.0,0.0,0.0
t89,0.0,0.0,0.0,-112.16941339259539,0.0,0.0,0.0
t90,0.0,0.0,0.0,-112.16941339259539,0.0,0.0,0.0
t91,0.0,0.0,0.0,-112.16941339259539,0.0,0.0,0.0
t92,0.0,0.0,0.0,-112.16941339259539,0.0,0.0,0.0
t93,0.0,0.0,0.0,-112.16941339259539,0.0,0.0,0.0
t94,0.0,0.0,0.0,-112.16941339259539,0.0,0.0,0.0
t95,0.0,0.0,0.0,-112.16941339259539,0.0,0.0,0.0
t96,0.0,0.0,0.0,-112.16941339259537,0.0,0.0,0.0
t97,0.0,0.0,0.0,-112.16941339259537,0.0,0.0,0.0
t98,0.0,0.0,0.0,-112.16941339259537,0.0,0.0,0.0
t99,0.0,0.0,0.0,-112.16941339259537,0.0,0.0,0.0
t100,0.0,0.0,0.0,-112.16941339259537,0.0,0.0,0.0
t101,0.0,0.0,0.0,-112.16941339259537,0.0,0.0,0.0
t102,0.0,0.0,0.0,-112.16941339259537,0.0,0.0,0.0
t103,0.0,0.0,0.0,-112.16941339259537,0.0,0.0,0.0
t104,0.0,0.0,0.0,-112.16941339259537,0.0,0.0,0.0
t105,0.0,0.0,0.0,-112.16941339259537,0.0,0.0,0.0
t106,0.0,0.0,0.0,-112.16941339259537,0.0,0.0,0.0
t107,0.0,0.0,0.0,-112.16941339259537,0.0,0.0,0.0
t108,0.0,0.0,0.0,-112.16941339259537,0.0,0.0,0.0
t109,0.0,0.0,0.0,-112.16941339259537,0.0,0.0,0.0
t110,0.0,0.0,0.0,-112.16941339259537,0.0,0.0,0.0
t111,0.0,0.0,0.0,-112.16941339259535,0.0,0.0,0.0
t112,0.0,0.0,0.0,-84.48167865493083,0.0,0.0,0.0
t113,0.0,0.0,0.0,-56.08140362941465,0.0,0.0,0.0
t114,0.0,0.0,0.0,-56.08140362941463,0.0,0.0,0.0
t115,0.0,0.0,0.0,-56.08140362941461,0.0,0.0,0.0
t116,0.0,0.0,0.0,-56.08140362941461,0.0,0.0,0.0
t117,0.0,0.0,0.0,-56.0814036294146,0.0,0.0,0.0
t118,0.0,0.0,0.0,-56.081403629414595,0.0,0.0,0.0
t119,0.0,0.0,0.0,-54.27151233420935,0.0,0.0,0.0
t120,0.0,0.0,0.0,-52.43457477277701,0.0,0.0,0.0
