Imports,Net Electric,Gross Electric,Recirc Power,Salt Heating,Fixed plant power,Var plant power,Reactor Thermal power,Turbine Thermal input,Tritium inventory,Tritium exports,Deuterium inventory,Deuterium imports,Commitment State
3.2979941793264886e-6,2.1880477429903067e-8,66.77318142343823,66.77318140155775,2.5095876310149904e-8,2.522375295344635,14.306466427564638,171.67766580184198,166.93295355859559,0.6452779068337893,1606.0543614458215,0.3018748083028803,1603.7528398064383,0.2522375295344635
3.2902370878377607e-6,2.1881311429439165e-8,66.7731814233526,66.7731814014713,2.509757633326281e-8,2.522375295274459,14.306466427546667,171.67766580162632,166.9329535583815,0.6354782597466271,1578.6630449908646,0.3084483968356787,1587.9821487497195,0.2522375295274459
3.2909866609892424e-6,2.1981074738164352e-8,66.77318142347907,66.773181401498,2.5094568107568865e-8,2.522375295277575,14.30646642757325,171.67766580194532,166.93295355869768,0.6258557896792262,1553.223113142646,0.314954316896949,1573.4027209228743,0.2522375295277575
3.294056863272491e-6,2.249889430316898e-8,66.7731814242413,66.77318140174239,2.5125716714811354e-8,2.5223752953344993,14.306466427729582,171.6776658038213,166.93295356060324,0.6164000079218949,1529.2895725990745,0.3213971820002559,1559.8172920238937,0.2522375295334499
3.2960106737691097e-6,2.266431264885682e-8,66.7731814244789,66.7731814018146,2.5121761376562014e-8,2.522375295360835,14.306466427779398,171.6776658044191,166.93295356119728,0.6071007272879233,1506.8191235229397,0.3277814230363987,1547.1865152852924,0.2522375295360835
3.297053456486659e-6,2.3234948631767338e-8,66.7731814254378,66.77318140220285,2.5206609123913588e-8,2.5223752954711975,14.306466427972449,171.67766580673572,166.9329535635945,0.5979504823495535,1485.4208331494556,0.334110649479341,1535.3334133496646,0.25223752954711975
3.298156463650357e-6,2.3333045273687958e-8,66.77318142557212,66.77318140223908,2.519422398465004e-8,2.522375295490838,14.306466428001414,171.6776658070833,166.9329535639303,0.5889392656200761,1465.4598391648562,0.34038905063029523,1524.382912184514,0.2522375295490838
3.298250393428712e-6,2.3098649659658577e-8,66.7731814253077,66.77318140220905,2.518468280973759e-8,2.52237529552469,14.30646642794708,171.6776658064313,166.93295356326925,0.5800585576490422,1446.7224154463306,0.34662033544375687,1514.2315192760411,0.252237529552469
3.299231770841604e-6,2.2433956470280236e-8,66.77318142492878,66.77318140249481,2.5261750115777037e-8,2.522375295818437,14.306466427862038,171.67766580541078,166.93295356232196,0.5712992311505409,1429.2958768181372,0.35280830871123886,1504.8998830723096,0.2522375295818437
3.2999990591178018e-6,2.309976299130767e-8,66.77318142573209,66.77318140263232,2.5079152866906237e-8,2.5223752959567234,14.30646642804385,171.67766580759252,166.93295356433023,0.5626490239974831,1413.6305072869966,0.35895758229282954,1496.5618895503815,0.25223752959567236
3.3440899742655878e-6,2.984521252358263e-8,66.7731814344515,66.77318140460628,2.4878044154075843e-8,2.5223752962993284,14.306466429876314,171.6776658295821,166.93295358612875,0.5540977652713537,1399.4259456565014,0.3650721756199537,1489.08989773328,0.25223752962993284
3.366051308577728e-6,3.1222368690464464e-8,66.77318143681329,66.77318140559092,2.5278321825574922e-8,2.522375296423336,14.306466430336666,171.67766583510632,166.93295359203324,0.5456436930004723,1385.4743750314865,0.37115374948706603,1481.9757303390707,0.2522375296423336
3.3703298224251874e-6,3.14175250260007e-8,66.77318143690046,66.77318140548292,2.522522111774396e-8,2.52237529634608,14.306466430359027,171.67766583537465,166.93295359225112,0.5372874876738271,1371.424972129881,0.37720316347624133,1475.0467631449255,0.252237529634608
3.3304646377324002e-6,2.5319317309424605e-8,66.77318142888524,66.77318140356593,2.53492124696285e-8,2.5223752959847436,14.306466428679377,171.67766581521886,166.9329535722131,0.5290273723441661,1357.630712256399,0.3832218344755123,1468.4230698096903,0.25223752959847434
3.3253816454102394e-6,2.490434969359967e-8,66.77318142843343,66.77318140352908,2.5403989405224016e-8,2.5223752959915826,14.306466428580913,171.67766581403728,166.93295357108357,0.5208531319327823,1345.3036152893258,0.3892135589477545,1462.6173387621895,0.25223752959915824
3.313810404593653e-6,2.40647932692184e-8,66.77318142719922,66.77318140313443,2.5290126957754904e-8,2.522375295958905,14.3064664283328,171.67766581105994,166.93295356799806,0.5127563355305725,1334.1874199105503,0.39518156853165676,1457.5078764767811,0.2522375295958905
3.285378660277001e-6,2.0902513053755456e-8,66.7731814227931,66.77318140189058,2.5116772068050898e-8,2.5223752957926338,14.306466427428582,171.6776658002093,166.93295355698274,0.504731083662318,1323.918529229228,0.40112831134546745,1452.9258705085851,0.2522375295792634
3.304886339045817e-6,2.352532124660911e-8,66.77318142583913,66.77318140231381,2.518005730255267e-8,2.522375295522994,14.306466428058162,171.67766580776427,166.93295356459782,0.4967721739561525,1314.3968196801352,0.4070560366176425,1448.8284693266824,0.2522375295522994
3.312798316572877e-6,2.4269145360023003e-8,66.77318142666596,66.77318140239682,2.5149197608973225e-8,2.5223752954621577,14.306466428232861,171.67766580986066,166.9329535666649,0.4888708970692059,1306.1260228062092,0.4129679379239054,1445.419136093573,0.25223752954621576
3.3233366329790815e-6,2.5548597015756513e-8,66.77318142861753,66.77318140306895,2.5237388237847617e-8,2.522375295646495,14.306466428632458,171.67766581465582,166.93295357154386,0.4810208937756966,1298.7685855801396,0.4188665113326525,1442.547590228773,0.2522375295646495
3.2972150620560306e-6,2.2209333927492025e-8,66.77318142389616,66.77318140168683,2.4927479007169326e-8,2.5223752955333802,14.306466427673373,171.6776658031468,166.9329535597404,0.4732130355434054,1292.7222855386372,0.42475504671698966,1440.3848599367066,0.252237529553338
3.406746988561775e-6,2.8120315853641387e-8,66.7731814337471,66.77318140562679,2.617408856245057e-8,2.5223752962731423,14.306466429626962,171.67766582658987,166.93295358436777,0.46545264218496485,1285.91183083346,0.430632645072638,1438.028435811475,0.2522375296273142
3.3602452548164157e-6,2.9546740609731614e-8,66.77318143352554,66.7731814039788,2.514446510329806e-8,2.5223752956194185,14.306466429662313,171.6776658270141,166.93295358381386,0.4577186123162062,1282.1322476086102,0.4365060016327675,1437.1145249427977,0.25223752956194184
3.2858109951880914e-6,2.1666267002729e-8,66.7731814231497,66.77318140148343,2.502851945316271e-8,2.5223752953924503,14.30646642750986,171.67766580118465,166.93295355787424,0.45002429588355647,1276.4351091095712,0.4423717477115817,1435.4748179669011,0.25223752953924505
3.3077763202110755e-6,2.4326482606085165e-8,66.77318142686994,66.77318140254346,2.5179868062087818e-8,2.5223752955380614,14.306466428272929,171.67766581034147,166.93295356717485,0.4423612737526225,1271.9472235497385,0.448232977766311,1434.5018235264222,0.25223752955380613
3.303953676510181e-6,2.398789789026523e-8,66.77318142637297,66.77318140238508,2.517614684642343e-8,2.5223752954866434,14.306466428169688,171.6776658091026,166.93295356593245,0.434722797414484,1268.4286369375682,0.4540922188904989,1434.0733009262972,0.25223752954866435
3.3007833874133235e-6,2.3727352527203038e-8,66.77318142597126,66.77318140224389,2.5169089493759884e-8,2.5223752954356584,14.306466428086555,171.677665808105,166.93295356492814,0.42710264945406146,1265.8030713930546,0.45995178238516565,1434.1427568628112,0.2522375295435658
