Time_Index,res_hydro_1,natural_gas_ccs_2,solar_pv_2,onshore_wind_2,battery_2,offshore_wind_2,natural_gas_2,nuclear_2,ror_hydro_2,pumped_hydro_2,fusion_2,natural_gas_ccs_3,solar_pv_3,onshore_wind_3,battery_3,offshore_wind_3,natural_gas_3,nuclear_3,ror_hydro_3,pumped_hydro_3,fusion_3,natural_gas_ccs_4,solar_pv_4,onshore_wind_4,battery_4,offshore_wind_4,natural_gas_4,nuclear_4,ror_hydro_4,pumped_hydro_4,fusion_4,natural_gas_ccs_5,solar_pv_5,onshore_wind_5,battery_5,offshore_wind_5,natural_gas_5,nuclear_5,ror_hydro_5,pumped_hydro_5,fusion_5,natural_gas_ccs_6,solar_pv_6,onshore_wind_6,battery_6,offshore_wind_6,natural_gas_6,nuclear_6,ror_hydro_6,pumped_hydro_6,fusion_6,natural_gas_ccs_7,solar_pv_7,onshore_wind_7,battery_7,offshore_wind_7,natural_gas_7,nuclear_7,ror_hydro_7,pumped_hydro_7,fusion_7
14,2.62E-01,1,0.676452185,0.769217385,1,0.81,1,1,0.552743642,1,1,1,0.825571213,0.741813812,1,0,1,1,0.552743642,1,1,1,0.825542426,0.70092702,1,0,1,1,0.552743642,1,1,1,0.825571213,0.741813812,1,0,1,1,0.552743642,1,1,1,0.825542426,0.70092702,1,0.81,1,1,0.552743642,1,1,1,0.757858921,0.769188981,1,0,1,1,0.552743642,1,1
15,2.62E-01,1,0.431874255,0.771917669,1,0.81,1,1,0.552743642,1,1,1,0.610299553,0.752107222,1,0,1,1,0.552743642,1,1,1,0.607547114,0.7248285,1,0,1,1,0.552743642,1,1,1,0.610299553,0.752107222,1,0,1,1,0.552743642,1,1,1,0.607547114,0.7248285,1,0.80739198,1,1,0.552743642,1,1,1,0.461148306,0.769257506,1,0,1,1,0.552743642,1,1
16,2.62E-01,1,0.236280244,0.743454354,1,0.809787375,1,1,0.552743642,1,1,1,0.306135199,0.708641221,1,0,1,1,0.552743642,1,1,1,0.303847271,0.66059226,1,0,1,1,0.552743642,1,1,1,0.306135199,0.708641221,1,0,1,1,0.552743642,1,1,1,0.303847271,0.66059226,1,0.777212242,1,1,0.552743642,1,1,1,0.270012294,0.750184956,1,0,1,1,0.552743642,1,1
17,2.62E-01,1,0,0.659674161,1,0.808186278,1,1,0.552743642,1,1,1,0,0.59572313,1,0,1,1,0.552743642,1,1,1,0,0.54050328,1,0,1,1,0.552743642,1,1,1,0,0.59572313,1,0,1,1,0.552743642,1,1,1,0,0.54050328,1,0.754873448,1,1,0.552743642,1,1,1,0,0.6482811,1,0,1,1,0.552743642,1,1
18,2.62E-01,1,0,0.645076626,1,0.809359225,1,1,0.552743642,1,1,1,0,0.571225601,1,0,1,1,0.552743642,1,1,1,0,0.44389944,1,0,1,1,0.552743642,1,1,1,0,0.571225601,1,0,1,1,0.552743642,1,1,1,0,0.44389944,1,0.787530631,1,1,0.552743642,1,1,1,0,0.63903778,1,0,1,1,0.552743642,1,1
19,2.62E-01,1,0,0.606166955,1,0.81,1,1,0.552743642,1,1,1,0,0.558748138,1,0,1,1,0.552743642,1,1,1,0,0.47152044,1,0,1,1,0.552743642,1,1,1,0,0.558748138,1,0,1,1,0.552743642,1,1,1,0,0.47152044,1,0.80337757,1,1,0.552743642,1,1,1,0,0.569386552,1,0,1,1,0.552743642,1,1
20,2.62E-01,1,0,0.62293903,1,0.81,1,1,0.552743642,1,1,1,0,0.581231371,1,0,1,1,0.552743642,1,1,1,0,0.5215752,1,0,1,1,0.552743642,1,1,1,0,0.581231371,1,0,1,1,0.552743642,1,1,1,0,0.5215752,1,0.81,1,1,0.552743642,1,1,1,0,0.594764802,1,0,1,1,0.552743642,1,1
21,2.62E-01,1,0,0.619167154,1,0.81,1,1,0.552743642,1,1,1,0,0.567936248,1,0,1,1,0.552743642,1,1,1,0,0.46762758,1,0,1,1,0.552743642,1,1,1,0,0.567936248,1,0,1,1,0.552743642,1,1,1,0,0.46762758,1,0.806235364,1,1,0.552743642,1,1,1,0,0.597809228,1,0,1,1,0.552743642,1,1
22,2.62E-01,1,0,0.594491288,1,0.81,1,1,0.552743642,1,1,1,0,0.519695692,1,0,1,1,0.552743642,1,1,1,0,0.40019994,1,0,1,1,0.552743642,1,1,1,0,0.519695692,1,0,1,1,0.552743642,1,1,1,0,0.40019994,1,0.81,1,1,0.552743642,1,1,1,0,0.591492386,1,0,1,1,0.552743642,1,1
23,2.62E-01,1,0,0.586732323,1,0.81,1,1,0.552743642,1,1,1,0,0.524691357,1,0,1,1,0.552743642,1,1,1,0,0.40934322,1,0,1,1,0.552743642,1,1,1,0,0.524691357,1,0,1,1,0.552743642,1,1,1,0,0.40934322,1,0.800974425,1,1,0.552743642,1,1,1,0,0.577943455,1,0,1,1,0.552743642,1,1
24,2.62E-01,1,0,0.448075079,1,0.81,1,1,0.552743642,1,1,1,0,0.379811859,1,0,1,1,0.552743642,1,1,1,0,0.3855438,1,0,1,1,0.552743642,1,1,1,0,0.379811859,1,0,1,1,0.552743642,1,1,1,0,0.3855438,1,0.808675623,1,1,0.552743642,1,1,1,0,0.398305757,1,0,1,1,0.552743642,1,1
25,2.62E-01,1,0,0.460190389,1,0.81,1,1,0.552743642,1,1,1,0,0.411699325,1,0,1,1,0.552743642,1,1,1,0,0.3875607,1,0,1,1,0.552743642,1,1,1,0,0.411699325,1,0,1,1,0.552743642,1,1,1,0,0.3875607,1,0.805205444,1,1,0.552743642,1,1,1,0,0.402384075,1,0,1,1,0.552743642,1,1
26,2.62E-01,1,0,0.458281313,1,0.81,1,1,0.552743642,1,1,1,0,0.379140923,1,0,1,1,0.552743642,1,1,1,0,0.335583,1,0,1,1,0.552743642,1,1,1,0,0.379140923,1,0,1,1,0.552743642,1,1,1,0,0.335583,1,0.805121937,1,1,0.552743642,1,1,1,0,0.401456175,1,0,1,1,0.552743642,1,1
27,2.62E-01,1,0,0.434850192,1,0.806449756,1,1,0.552743642,1,1,1,0,0.373186007,1,0,1,1,0.552743642,1,1,1,0,0.41821758,1,0,1,1,0.552743642,1,1,1,0,0.373186007,1,0,1,1,0.552743642,1,1,1,0,0.41821758,1,0.80108252,1,1,0.552743642,1,1,1,0,0.376904008,1,0,1,1,0.552743642,1,1
28,2.62E-01,1,0,0.330825693,1,0.805315756,1,1,0.552743642,1,1,1,0,0.307151241,1,0,1,1,0.552743642,1,1,1,0,0.4063851,1,0,1,1,0.552743642,1,1,1,0,0.307151241,1,0,1,1,0.552743642,1,1,1,0,0.4063851,1,0.800189405,1,1,0.552743642,1,1,1,0,0.233186553,1,0,1,1,0.552743642,1,1
