Imports,Net Electric,Gross Electric,Recirc Power,Salt Heating,Fixed plant power,Var plant power,Reactor Thermal power,Turbine Thermal input,Tritium inventory,Tritium exports,Deuterium inventory,Deuterium imports,Commitment State,Storage Inventory,Charge per Hour,Discharge per Hour,Net charge rate
6.121958111529571e-6,3.121708580522409e-8,66.77318151698542,66.77318148576833,4.839694740317883e-8,2.52237530890751,14.306466445442256,171.67766601637348,166.9329537924635,0.6627861567493962,1463.6659739839663,0.230675656925551,1596.1135597224268,0.252237530890751,0.0,0.0,0.0,0.0
6.118624286719737e-6,3.110117186011507e-8,66.77318151685965,66.77318148575847,4.841285907936403e-8,2.522375308909201,14.306466445414793,171.67766601604393,166.93295379214908,0.6540310670574805,1428.6110023219853,0.2371024207052863,1556.3482012454087,0.2522375308909201,0.0,0.0,0.0,0.0
6.118279159536279e-6,3.11060963653631e-8,66.77318151687211,66.773181485766,4.8415360328337925e-8,2.522375308911842,14.306466445417193,171.67766601607272,166.93295379218026,0.6455012541059794,1396.2612625045917,0.24335998150865612,1519.8927807762416,0.2522375308911842,0.0,0.0,0.0,0.0
6.117763682468197e-6,3.099402245965166e-8,66.7731815167655,66.77318148577147,4.844460491157622e-8,2.52237530891259,14.306466445392667,171.6776660157784,166.93295379191372,0.6371780736876681,1366.5892914527221,0.24946364009445957,1486.733966592904,0.252237530891259,0.0,0.0,0.0,0.0
6.116603197350254e-6,3.093226830230833e-8,66.77318151670046,66.77318148576819,4.845333157784563e-8,2.5223753089148255,14.306466445378428,171.67766601560754,166.93295379175115,0.6290432752631281,1339.538561555678,0.2554284339647313,1456.8150390313795,0.25223753089148254,0.0,0.0,0.0,0.0
6.116605705865321e-6,3.067504295017898e-8,66.77318151648964,66.77318148581459,4.854387532247793e-8,2.5223753089217653,14.306466445327338,171.67766601499446,166.93295379122407,0.6210826236042659,1314.5323469866298,0.2612657554057843,1429.350622593086,0.25223753089217654,0.0,0.0,0.0,0.0
6.115389439199619e-6,3.078670385292526e-8,66.77318151666574,66.77318148587904,4.855702902089291e-8,2.5223753089374137,14.306466445362986,171.67766601542223,166.93295379166435,0.6132787936297609,1292.014474579651,0.266989978776178,1404.9832160105957,0.25223753089374135,0.0,0.0,0.0,0.0
6.115211082604185e-6,3.063572284744964e-8,66.7731815164763,66.77318148584057,4.856130110332026e-8,2.5223753089344787,14.306466445323178,171.67766601494455,166.93295379119073,0.6056176732935433,1271.5234532601428,0.27261257500792124,1383.0872650631175,0.25223753089344786,0.0,0.0,0.0,0.0
6.113618377339421e-6,3.039838913920789e-8,66.77318151624702,66.77318148584862,4.861829258060296e-8,2.522375308937824,14.306466445270901,171.67766601431723,166.93295379061755,0.598090732251232,1252.2575635705966,0.27813988669959194,1362.5578509400461,0.2522375308937824,0.0,0.0,0.0,0.0
6.1096360558902705e-6,3.048044172615505e-8,66.77318151636584,66.77318148588537,4.8633619692761015e-8,2.522375308935712,14.30646644529444,171.67766601459968,166.93295379091455,0.5906895505765181,1234.200953387569,0.28357822995243614,1343.389264692175,0.2522375308935712,0.0,0.0,0.0,0.0
