Time_Index,None,TEXAS_reference_naturalgas,TEXAS_reference_naturalgas_ccs90,TEXAS_reference_naturalgas_ccs100,TEXAS_uranium
156,0,4.01,4.49,4.54,0.69
157,0,4.01,4.49,4.54,0.69
158,0,4.01,4.49,4.54,0.69
159,0,4.01,4.49,4.54,0.69
160,0,4.01,4.49,4.54,0.69
161,0,4.01,4.49,4.54,0.69
162,0,4.01,4.49,4.54,0.69
163,0,4.01,4.49,4.54,0.69
164,0,4.01,4.49,4.54,0.69
165,0,4.01,4.49,4.54,0.69
166,0,4.01,4.49,4.54,0.69
167,0,4.01,4.49,4.54,0.69
168,0,4.01,4.49,4.54,0.69
169,0,4.01,4.49,4.54,0.69
170,0,4.01,4.49,4.54,0.69
171,0,4.01,4.49,4.54,0.69
172,0,4.01,4.49,4.54,0.69
173,0,4.01,4.49,4.54,0.69
174,0,4.01,4.49,4.54,0.69
175,0,4.01,4.49,4.54,0.69
176,0,4.01,4.49,4.54,0.69
177,0,4.01,4.49,4.54,0.69
178,0,4.01,4.49,4.54,0.69
179,0,4.01,4.49,4.54,0.69
180,0,4.01,4.49,4.54,0.69
181,0,4.01,4.49,4.54,0.69
182,0,4.01,4.49,4.54,0.69
183,0,4.01,4.49,4.54,0.69
184,0,4.01,4.49,4.54,0.69
185,0,4.01,4.49,4.54,0.69
186,0,4.01,4.49,4.54,0.69
187,0,4.01,4.49,4.54,0.69
188,0,4.01,4.49,4.54,0.69
189,0,4.01,4.49,4.54,0.69
190,0,4.01,4.49,4.54,0.69
191,0,4.01,4.49,4.54,0.69
192,0,4.01,4.49,4.54,0.69
193,0,4.01,4.49,4.54,0.69
194,0,4.01,4.49,4.54,0.69
195,0,4.01,4.49,4.54,0.69
196,0,4.01,4.49,4.54,0.69
197,0,4.01,4.49,4.54,0.69
198,0,4.01,4.49,4.54,0.69
199,0,4.01,4.49,4.54,0.69
200,0,4.01,4.49,4.54,0.69
201,0,4.01,4.49,4.54,0.69
202,0,4.01,4.49,4.54,0.69
203,0,4.01,4.49,4.54,0.69
204,0,4.01,4.49,4.54,0.69
205,0,4.01,4.49,4.54,0.69
206,0,4.01,4.49,4.54,0.69
207,0,4.01,4.49,4.54,0.69
208,0,4.01,4.49,4.54,0.69
209,0,4.01,4.49,4.54,0.69
210,0,4.01,4.49,4.54,0.69
211,0,4.01,4.49,4.54,0.69
212,0,4.01,4.49,4.54,0.69
213,0,4.01,4.49,4.54,0.69
214,0,4.01,4.49,4.54,0.69
215,0,4.01,4.49,4.54,0.69
216,0,4.01,4.49,4.54,0.69
217,0,4.01,4.49,4.54,0.69
218,0,4.01,4.49,4.54,0.69
