Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1
,,,,,,,,236,64592
,,,,,,,,237,64629
,,,,,,,,238,63719
,,,,,,,,239,61312
,,,,,,,,240,57282
,,,,,,,,241,53666
,,,,,,,,242,51555
,,,,,,,,243,50641
,,,,,,,,244,50612
,,,,,,,,245,51314
,,,,,,,,246,53231
,,,,,,,,247,57907
,,,,,,,,248,65406
,,,,,,,,249,67011
,,,,,,,,250,63944
,,,,,,,,251,60776
,,,,,,,,252,58515
,,,,,,,,253,56670
,,,,,,,,254,54788
,,,,,,,,255,53879
,,,,,,,,256,53131
,,,,,,,,257,52806
,,,,,,,,258,52992
,,,,,,,,259,54608
,,,,,,,,260,58459
,,,,,,,,261,58885
,,,,,,,,262,58751
,,,,,,,,263,57231
,,,,,,,,264,54027
,,,,,,,,265,50649
,,,,,,,,266,49371
,,,,,,,,267,49427
,,,,,,,,268,50054
,,,,,,,,269,51116
,,,,,,,,270,53799
,,,,,,,,271,59387
,,,,,,,,272,67329
,,,,,,,,273,70102
,,,,,,,,274,68463
,,,,,,,,275,67967
,,,,,,,,276,67598
,,,,,,,,277,66279
,,,,,,,,278,64908
,,,,,,,,279,63686
,,,,,,,,280,62625
,,,,,,,,281,62493
,,,,,,,,282,64204
,,,,,,,,283,67090
,,,,,,,,284,72019
,,,,,,,,285,72741
,,,,,,,,286,72743
,,,,,,,,287,70961
,,,,,,,,288,67700
,,,,,,,,289,64303
,,,,,,,,290,62265
,,,,,,,,291,61533
,,,,,,,,292,61331
,,,,,,,,293,61786
,,,,,,,,294,63565
,,,,,,,,295,67974
,,,,,,,,296,74858
,,,,,,,,297,76474
,,,,,,,,298,73344
,,,,,,,,299,69820
,,,,,,,,300,66721
,,,,,,,,301,63159
,,,,,,,,302,60253
,,,,,,,,303,57711
,,,,,,,,304,55603
,,,,,,,,305,54765
,,,,,,,,306,54984
,,,,,,,,307,56987
,,,,,,,,308,61972
,,,,,,,,309,63052
,,,,,,,,310,63265
,,,,,,,,311,63186
,,,,,,,,312,60824
,,,,,,,,313,58681
,,,,,,,,314,57137
,,,,,,,,315,56476
,,,,,,,,316,56369
,,,,,,,,317,56818
,,,,,,,,318,58154
,,,,,,,,319,60458
,,,,,,,,320,63257
,,,,,,,,321,65638
,,,,,,,,322,65716
,,,,,,,,323,63389
,,,,,,,,324,60421
,,,,,,,,325,57064
,,,,,,,,326,53852
,,,,,,,,327,51351
,,,,,,,,328,49441
,,,,,,,,329,48595
,,,,,,,,330,48421
,,,,,,,,331,50254
,,,,,,,,332,54223
,,,,,,,,333,54920
,,,,,,,,334,55241
,,,,,,,,335,54963
,,,,,,,,336,53401
,,,,,,,,337,51775
,,,,,,,,338,50786
,,,,,,,,339,50322
,,,,,,,,340,50433
,,,,,,,,341,50921
,,,,,,,,342,51874
,,,,,,,,343,53531
,,,,,,,,344,55872
,,,,,,,,345,57736
,,,,,,,,346,58795
,,,,,,,,347,57612
,,,,,,,,348,55212
,,,,,,,,349,52763
,,,,,,,,350,51130
,,,,,,,,351,49901
,,,,,,,,352,48871
,,,,,,,,353,48477
,,,,,,,,354,48995
,,,,,,,,355,50834
,,,,,,,,356,53860
,,,,,,,,357,53624
,,,,,,,,358,52511
,,,,,,,,359,50771
,,,,,,,,360,48257
,,,,,,,,361,45228
,,,,,,,,362,42986
,,,,,,,,363,41815
,,,,,,,,364,41330
,,,,,,,,365,41125
,,,,,,,,366,42081
,,,,,,,,367,44451
,,,,,,,,368,47840
,,,,,,,,369,49600
,,,,,,,,370,50776
,,,,,,,,371,52428
,,,,,,,,372,54179
,,,,,,,,373,54558
,,,,,,,,374,54400
,,,,,,,,375,54252
,,,,,,,,376,53846
,,,,,,,,377,53462
,,,,,,,,378,53720
,,,,,,,,379,54922
,,,,,,,,380,57564
,,,,,,,,381,57246
,,,,,,,,382,55914
,,,,,,,,383,53807
