,Network_zones,Network_Lines,z1,z2,z3,z4,z5,z6,z7,Line_Max_Flow_MW,transmission_path_name,distance_mile,Line_Loss_Percentage,Line_Max_Reinforcement_MW,Line_Reinforcement_Cost_per_MWyr,DerateCapRes_1,CapRes_1,CapRes_Excl_1
QC,z1,1,1,0,0,0,-1,0,0,2000.00,QC_to_MA,0,0.012305837,0,12060,0.95,0,0
ME,z2,2,1,0,0,-1,0,0,0,225.00,QC_to_VT,0,0.012305837,0,12060,0.95,0,0
NH,z3,3,0,1,-1,0,0,0,0,1900.00,ME_to_NH,0,0.012305837,0,12060,0.95,0,0
VT,z4,4,0,0,1,-1,0,0,0,850.00,NH_to_VT,0,0.012305837,0,12060,0.95,0,0
MA,z5,5,0,0,1,0,-1,0,0,3450.00,NH_to_MA,0,0.012305837,0,12060,0.95,0,0
RI,z6,6,0,0,0,1,-1,0,0,850.00,VT_to_MA,0,0.012305837,0,12060,0.95,0,0
CT,z7,7,0,0,0,0,1,-1,0,3400.00,MA_to_RI,0,0.012305837,0,12060,0.95,0,0
,,8,0,0,0,0,1,0,-1,1700.00,MA_to_CT,0,0.012305837,0,12060,0.95,0,0
,,9,0,0,0,0,0,1,-1,1700.00,RI_to_CT,0,0.012305837,0,12060,0.95,0,0
