,Network_zones,Network_Lines,z1,z2,z3,z4,z5,z6,z7,Line_Max_Flow_MW,transmission_path_name,distance_mile,Line_Loss_Percentage,Line_Max_Reinforcement_MW,Line_Reinforcement_Cost_per_MWyr,DerateCapRes_1,CapRes_1,CapRes_Excl_1
QC,z1,1,1,-1,0,0,-1,0,0,2000,QC_to_NE,0,0.012305837,0,12060,0.95,0,0
NE,z2,2,1,-1,0,0,0,0,0,225,QC_to_NE,0,0.012305837,0,12060,0.95,0,0
