Time_Index,res_hydro_1,natural_gas_ccs_2,solar_pv_2,comm_solar_pv_2,res_solar_pv_2,onshore_wind_2,battery_2,fixed_offshore_wind_2,float_offshore_wind_2,natural_gas_2,nuclear_2,ror_hydro_2,pumped_hydro_2,fusion_2
96416,0.262,1,0.050462924,0.028919137,0.026590079,0.396699,1,0.776880617,0.776880617,1,1,0.552743642,1,1
96417,0.262,1,0.298219869,0.170902925,0.157138931,0.412512657,1,0.78448316,0.78448316,1,1,0.552743642,1,1
96418,0.262,1,0.496363398,0.284454409,0.261545329,0.334340029,1,0.778166622,0.778166622,1,1,0.552743642,1,1
96419,0.262,1,0.4459924,0.255587952,0.235003688,0.394157651,1,0.764512321,0.764512321,1,1,0.552743642,1,1
96420,0.262,1,0.561682742,0.321887418,0.295963599,0.442355104,1,0.719958952,0.719958952,1,1,0.552743642,1,1
96421,0.262,1,0.655135355,0.375442953,0.345205937,0.465047918,1,0.689821341,0.689821341,1,1,0.552743642,1,1
96422,0.262,1,0.783910254,0.449240876,0.413060403,0.46899315,1,0.680243586,0.680243586,1,1,0.552743642,1,1
96423,0.262,1,0.570251186,0.326797795,0.30047851,0.511898413,1,0.689549154,0.689549154,1,1,0.552743642,1,1
96424,0.262,1,0.285635073,0.163690869,0.150507712,0.524158143,1,0.728811629,0.728811629,1,1,0.552743642,1,1
96425,0.262,1,0.0,0.0,0.0,0.558308919,1,0.741009232,0.741009232,1,1,0.552743642,1,1
96426,0.262,1,0.0,0.0,0.0,0.596261032,1,0.749888239,0.749888239,1,1,0.552743642,1,1
96427,0.262,1,0.0,0.0,0.0,0.594755813,1,0.795984166,0.795984166,1,1,0.552743642,1,1
96428,0.262,1,0.0,0.0,0.0,0.532816375,1,0.81,0.81,1,1,0.552743642,1,1
96429,0.262,1,0.0,0.0,0.0,0.452428388,1,0.80995275,0.80995275,1,1,0.552743642,1,1
96430,0.262,1,0.0,0.0,0.0,0.466053285,1,0.81,0.81,1,1,0.552743642,1,1
96431,0.262,1,0.0,0.0,0.0,0.472885995,1,0.81,0.81,1,1,0.552743642,1,1
96432,0.262,1,0.0,0.0,0.0,0.450603833,1,0.81,0.81,1,1,0.552743642,1,1
96433,0.262,1,0.0,0.0,0.0,0.652143676,1,0.81,0.81,1,1,0.552743642,1,1
96434,0.262,1,0.0,0.0,0.0,0.674741258,1,0.81,0.81,1,1,0.552743642,1,1
96435,0.262,1,0.0,0.0,0.0,0.573376873,1,0.81,0.81,1,1,0.552743642,1,1
96436,0.262,1,0.0,0.0,0.0,0.563234633,1,0.81,0.81,1,1,0.552743642,1,1
96437,0.262,1,0.0,0.0,0.0,0.569226306,1,0.809740509,0.809740509,1,1,0.552743642,1,1
96438,0.262,1,0.0,0.0,0.0,0.502109645,1,0.808365811,0.808365811,1,1,0.552743642,1,1
96439,0.262,1,0.0,0.0,0.0,0.49419082,1,0.801477606,0.801477606,1,1,0.552743642,1,1
96440,0.262,1,0.053705797,0.030777553,0.028298824,0.448266676,1,0.781386492,0.781386492,1,1,0.552743642,1,1
96441,0.262,1,0.270653703,0.155105391,0.142613682,0.328864243,1,0.764832005,0.764832005,1,1,0.552743642,1,1
96442,0.262,1,0.512974853,0.29397405,0.270298288,0.271195586,1,0.717801747,0.717801747,1,1,0.552743642,1,1
96443,0.262,1,0.737238148,0.422494169,0.388467793,0.215929233,1,0.639026431,0.639026431,1,1,0.552743642,1,1
96444,0.262,1,0.800270683,0.458616661,0.421681091,0.205837194,1,0.560933174,0.560933174,1,1,0.552743642,1,1
96445,0.262,1,0.739911803,0.424026379,0.389876604,0.12611695,1,0.47816315,0.47816315,1,1,0.552743642,1,1
96446,0.262,1,0.716866861,0.410819855,0.377733692,0.111540653,1,0.418539522,0.418539522,1,1,0.552743642,1,1
96447,0.262,1,0.531527813,0.304606324,0.280074271,0.075084636,1,0.361110777,0.361110777,1,1,0.552743642,1,1
96448,0.262,1,0.232199333,0.133068079,0.122351187,0.096608339,1,0.319453219,0.319453219,1,1,0.552743642,1,1
96449,0.262,1,0.0,0.0,0.0,0.181270752,1,0.267363008,0.267363008,1,1,0.552743642,1,1
96450,0.262,1,0.0,0.0,0.0,0.198701158,1,0.316357172,0.316357172,1,1,0.552743642,1,1
96451,0.262,1,0.0,0.0,0.0,0.262770571,1,0.368342732,0.368342732,1,1,0.552743642,1,1
96452,0.262,1,0.0,0.0,0.0,0.297062413,1,0.45116225,0.45116225,1,1,0.552743642,1,1
96453,0.262,1,0.0,0.0,0.0,0.346038569,1,0.580008525,0.580008525,1,1,0.552743642,1,1
96454,0.262,1,0.0,0.0,0.0,0.413684287,1,0.720716965,0.720716965,1,1,0.552743642,1,1
96455,0.262,1,0.0,0.0,0.0,0.501254226,1,0.788916211,0.788916211,1,1,0.552743642,1,1
96456,0.262,1,0.0,0.0,0.0,0.534609396,1,0.805323375,0.805323375,1,1,0.552743642,1,1
96457,0.262,1,0.0,0.0,0.0,0.572431965,1,0.81,0.81,1,1,0.552743642,1,1
96458,0.262,1,0.0,0.0,0.0,0.481440144,1,0.81,0.81,1,1,0.552743642,1,1
96459,0.262,1,0.0,0.0,0.0,0.456485998,1,0.80862975,0.80862975,1,1,0.552743642,1,1
96460,0.262,1,0.0,0.0,0.0,0.461947959,1,0.77229855,0.77229855,1,1,0.552743642,1,1
96461,0.262,1,0.0,0.0,0.0,0.379361604,1,0.755283759,0.755283759,1,1,0.552743642,1,1
96462,0.262,1,0.0,0.0,0.0,0.347056688,1,0.725180482,0.725180482,1,1,0.552743642,1,1
96463,0.262,1,0.0,0.0,0.0,0.407231423,1,0.618665605,0.618665605,1,1,0.552743642,1,1
96464,0.262,1,0.003630818,0.002080738,0.001913162,0.415435628,1,0.513091149,0.513091149,1,1,0.552743642,1,1
