Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1,Load_MW_z2,Load_MW_z3,Load_MW_z4,Load_MW_z5,Load_MW_z6,Load_MW_z7
,,,,,,,75,0,2330.5,2330.5,2330.5,2330.5,2330.5,2330.5
,,,,,,,76,0,2161.9,2161.9,2161.9,2161.9,2161.9,2161.9
,,,,,,,77,0,2015.8,2015.8,2015.8,2015.8,2015.8,2015.8
,,,,,,,78,0,1915.4,1915.4,1915.4,1915.4,1915.4,1915.4
,,,,,,,79,0,1858.6,1858.6,1858.6,1858.6,1858.6,1858.6
,,,,,,,80,0,1838.6,1838.6,1838.6,1838.6,1838.6,1838.6
,,,,,,,81,0,1844.4,1844.4,1844.4,1844.4,1844.4,1844.4
,,,,,,,82,0,1902.7,1902.7,1902.7,1902.7,1902.7,1902.7
,,,,,,,83,0,2040.4,2040.4,2040.4,2040.4,2040.4,2040.4
,,,,,,,84,0,2257.6,2257.6,2257.6,2257.6,2257.6,2257.6
,,,,,,,85,0,2452.0,2452.0,2452.0,2452.0,2452.0,2452.0
,,,,,,,86,0,2570.3,2570.3,2570.3,2570.3,2570.3,2570.3
,,,,,,,87,0,2670.9,2670.9,2670.9,2670.9,2670.9,2670.9
,,,,,,,88,0,2709.3,2709.3,2709.3,2709.3,2709.3,2709.3
,,,,,,,89,0,2720.8,2720.8,2720.8,2720.8,2720.8,2720.8
,,,,,,,90,0,2685.3,2685.3,2685.3,2685.3,2685.3,2685.3
,,,,,,,91,0,2645.4,2645.4,2645.4,2645.4,2645.4,2645.4
,,,,,,,92,0,2603.4,2603.4,2603.4,2603.4,2603.4,2603.4
,,,,,,,93,0,2537.6,2537.6,2537.6,2537.6,2537.6,2537.6
,,,,,,,94,0,2647.3,2647.3,2647.3,2647.3,2647.3,2647.3
,,,,,,,95,0,2810.0,2810.0,2810.0,2810.0,2810.0,2810.0
,,,,,,,96,0,2770.8,2770.8,2770.8,2770.8,2770.8,2770.8
,,,,,,,97,0,2676.5,2676.5,2676.5,2676.5,2676.5,2676.5
,,,,,,,98,0,2552.0,2552.0,2552.0,2552.0,2552.0,2552.0
,,,,,,,99,0,2398.1,2398.1,2398.1,2398.1,2398.1,2398.1
,,,,,,,100,0,2223.9,2223.9,2223.9,2223.9,2223.9,2223.9
,,,,,,,101,0,2066.7,2066.7,2066.7,2066.7,2066.7,2066.7
,,,,,,,102,0,1959.2,1959.2,1959.2,1959.2,1959.2,1959.2
,,,,,,,103,0,1901.1,1901.1,1901.1,1901.1,1901.1,1901.1
,,,,,,,104,0,1875.4,1875.4,1875.4,1875.4,1875.4,1875.4
,,,,,,,105,0,1879.3,1879.3,1879.3,1879.3,1879.3,1879.3
,,,,,,,106,0,1930.0,1930.0,1930.0,1930.0,1930.0,1930.0
,,,,,,,107,0,2064.6,2064.6,2064.6,2064.6,2064.6,2064.6
,,,,,,,108,0,2277.6,2277.6,2277.6,2277.6,2277.6,2277.6
,,,,,,,109,0,2463.2,2463.2,2463.2,2463.2,2463.2,2463.2
,,,,,,,110,0,2586.6,2586.6,2586.6,2586.6,2586.6,2586.6
,,,,,,,111,0,2644.6,2644.6,2644.6,2644.6,2644.6,2644.6
,,,,,,,112,0,2685.7,2685.7,2685.7,2685.7,2685.7,2685.7
,,,,,,,113,0,2772.0,2772.0,2772.0,2772.0,2772.0,2772.0
,,,,,,,114,0,2718.0,2718.0,2718.0,2718.0,2718.0,2718.0
,,,,,,,115,0,2670.4,2670.4,2670.4,2670.4,2670.4,2670.4
,,,,,,,116,0,2598.3,2598.3,2598.3,2598.3,2598.3,2598.3
,,,,,,,117,0,2607.8,2607.8,2607.8,2607.8,2607.8,2607.8
,,,,,,,118,0,2724.6,2724.6,2724.6,2724.6,2724.6,2724.6
,,,,,,,119,0,2842.1,2842.1,2842.1,2842.1,2842.1,2842.1
,,,,,,,120,0,2793.1,2793.1,2793.1,2793.1,2793.1,2793.1
,,,,,,,121,0,2693.3,2693.3,2693.3,2693.3,2693.3,2693.3
,,,,,,,122,0,2561.4,2561.4,2561.4,2561.4,2561.4,2561.4
,,,,,,,123,0,2401.4,2401.4,2401.4,2401.4,2401.4,2401.4
,,,,,,,124,0,2219.8,2219.8,2219.8,2219.8,2219.8,2219.8
,,,,,,,125,0,2061.7,2061.7,2061.7,2061.7,2061.7,2061.7
,,,,,,,126,0,1954.2,1954.2,1954.2,1954.2,1954.2,1954.2
,,,,,,,127,0,1893.6,1893.6,1893.6,1893.6,1893.6,1893.6
