Imports,Net Electric,Gross Electric,Recirc Power,Salt Heating,Fixed plant power,Var plant power,Reactor Thermal power,Turbine Thermal input,Tritium inventory,Tritium exports,Deuterium inventory,Deuterium imports,Commitment State,,Net+Recirc-Gross,Recirc-heating-fixed-var-magnet
1.99E-05,4685.096138,6962.394323,2277.298185,22.25144355,381.9243865,1452.069995,17424.84691,17405.98581,0.362910565,19289.80204,0.265178037,19720.68469,38.19243865,,,
1.99E-05,4798.804269,7106.993618,2308.189349,22.24495307,382.6966865,1482.19535,17786.35131,17767.48404,0.360862955,18080.12666,0.268536849,18510.02002,38.26966865,,,
1.99E-05,3843.9673,5894.412504,2050.445204,22.32665779,377.4982685,1229.567917,14754.82091,14736.03126,0.344841967,17055.67627,0.281235125,17490.7125,37.74982685,,,
1.99E-05,3405.487384,5337.511947,1932.024563,22.36248194,375.0655428,1113.544178,13362.53548,13343.77987,0.322802103,16527.93209,0.297167377,16795.19926,37.50655428,,,
1.99E-05,3791.63522,5825.924075,2034.288855,22.3237962,375.6129718,1215.299727,14583.60255,14564.81019,0.309111548,16549.75928,0.305738013,16430.17851,37.56129718,,,
1.99E-05,4753.177471,7045.984599,2292.807128,22.2635363,380.0075604,1469.483672,17633.81111,17614.9615,0.314208287,16901.45142,0.299386631,16265.38198,38.00075604,,,
1.99E-05,5643.384864,8173.864183,2530.479319,22.20093499,382.7625774,1704.463447,20453.56954,20434.66046,0.33712005,17162.32907,0.279135121,16090.30508,38.27625774,,,
2.00E-05,5840.876961,8422.510466,2581.633505,22.21756505,382.1001612,1756.263418,21075.16945,21056.27616,0.366026504,16922.85542,0.254300618,15724.48207,38.21001612,,,
2.00E-05,5536.375337,8033.662456,2497.287119,22.28187548,378.7045257,1675.248358,20102.98833,20084.15614,0.394206437,16055.00188,0.231117893,15108.18261,37.87045257,,,
1.99E-05,4051.912388,6155.127971,2103.215583,22.52091355,375.7740701,1283.868239,15406.42503,15387.81993,0.399202674,14688.42265,0.225940226,14290.87701,37.57740701,,,
1.99E-05,2906.723473,4704.126799,1797.403326,22.57434755,372.2043997,981.5722191,11778.87134,11760.317,0.387624937,13441.48114,0.234168682,13551.72332,37.22043997,,,
1.99E-05,2361.608628,4013.592242,1651.983614,22.62119019,370.6028615,837.7072023,10052.49045,10033.9806,0.370128172,12565.29566,0.248047005,13042.62749,37.06028615,,,
1.99E-05,1993.272841,3547.703299,1554.430458,22.63643987,370.0958208,740.6458373,8887.753603,8869.258247,0.347989634,12067.29994,0.266171211,12792.68239,37.00958208,,,
1.99E-05,2109.510402,3694.283562,1584.77316,22.66640631,369.873386,771.1810076,9254.175793,9235.708905,0.329130662,11962.67928,0.282697024,12814.72462,36.9873386,,,
1.99E-05,2260.615889,3885.47014,1624.854251,22.66795834,370.1225271,811.011406,9732.140764,9713.675351,0.311903905,12206.21705,0.298249184,13082.91227,37.01225271,,,
2.00E-05,3194.969145,5063.722957,1868.753811,22.61319595,368.6032755,1056.48498,12677.82483,12659.30739,0.310911621,12820.06464,0.302511351,13596.12483,36.86032755,,,
2.00E-05,4020.143408,6105.707539,2085.564131,22.39392988,368.5354684,1273.582373,15282.99459,15264.26885,0.322492468,13619.28289,0.297725915,14251.95431,36.85354684,,,
2.00E-05,4177.961451,6304.453023,2126.491573,22.34138941,368.1059984,1314.991825,15779.90821,15761.13256,0.332071672,14403.69369,0.293861101,14947.21952,36.81059984,,,
1.99E-05,4267.684894,6428.717043,2161.032149,22.34275548,376.7569892,1340.880044,16090.56696,16071.79261,0.338192973,15211.02228,0.292031786,15696.43404,37.67569892,,,
1.99E-05,4244.179841,6399.854929,2155.675088,22.32084422,377.433043,1334.868841,16018.43249,15999.63732,0.33754413,16111.31763,0.294472544,16544.30308,37.7433043,,,
1.99E-05,4742.245476,7033.671061,2291.425585,22.22502352,381.2268001,1466.921401,17603.06385,17584.17765,0.339789115,17280.29212,0.294277342,17561.00683,38.12268001,,,
1.99E-05,5208.267928,7626.473302,2418.205374,22.15295653,384.5725333,1590.427524,19085.13792,19066.18325,0.342667046,18671.45037,0.29259281,18722.1993,38.45725333,,,
1.99E-05,5748.014149,8313.371927,2565.357777,22.06615198,388.7010467,1733.538219,20802.46695,20783.42982,0.346177987,20297.85391,0.288982399,20024.59015,38.87010467,,,
1.99E-05,6336.378311,9063.071064,2726.692753,21.9786812,393.9293105,1889.732401,22676.79789,22657.67766,0.349871811,22145.91294,0.283267858,21445.57839,39.39293105,,,
1.99E-05,7321.791944,10321.795,3000.003053,21.68856811,405.2727087,2151.989417,25823.88333,25804.48749,0.361164801,24201.48236,0.269945294,22953.48669,40.52727087,,,
1.98E-05,7755.505919,10877.31982,3121.813902,21.36869361,411.6438169,2267.749032,27212.99927,27193.29955,0.36964378,25994.78071,0.256592371,24336.06159,41.16438169,,,
1.98E-05,8216.811024,11447.05026,3230.239233,2.95E-07,421.0523599,2388.134513,28657.62562,28617.62564,0.378049351,27449.9432,0.242075,25529.80304,42.10523599,,,
1.98E-05,8216.811025,11447.05026,3230.239233,2.13E-07,421.0523599,2388.134513,28657.62562,28617.62564,0.379994235,28377.92183,0.231894687,26464.23873,42.10523599,,,
