Segment,1,Total
Zone,1,0
AnnualSum,7.264286693136473e-6,7.264286693136473e-6
t1,8.33622312750622e-10,8.33622312750622e-10
t2,8.306582006888217e-10,8.306582006888217e-10
t3,8.278722461475732e-10,8.278722461475732e-10
t4,8.251595322975379e-10,8.251595322975379e-10
t5,8.224243193866797e-10,8.224243193866797e-10
t6,8.198376932302782e-10,8.198376932302782e-10
t7,8.186045340740967e-10,8.186045340740967e-10
t8,8.197272187595399e-10,8.197272187595399e-10
t9,8.209310131867284e-10,8.209310131867284e-10
t10,8.227642682588082e-10,8.227642682588082e-10
t11,8.231108091408084e-10,8.231108091408084e-10
t12,8.223491127834295e-10,8.223491127834295e-10
t13,8.246604327374709e-10,8.246604327374709e-10
t14,8.297421571821877e-10,8.297421571821877e-10
t15,8.287582192063101e-10,8.287582192063101e-10
t16,8.304315084798199e-10,8.304315084798199e-10
t17,8.279060047087542e-10,8.279060047087542e-10
t18,8.284441302935901e-10,8.284441302935901e-10
t19,8.285272148208801e-10,8.285272148208801e-10
t20,8.309345241083853e-10,8.309345241083853e-10
t21,8.230672531974859e-10,8.230672531974859e-10
t22,8.47489871042957e-10,8.47489871042957e-10
t23,8.224023039474285e-10,8.224023039474285e-10
t24,8.262056315690325e-10,8.262056315690325e-10
t25,8.28838540925557e-10,8.28838540925557e-10
t26,8.298602317361886e-10,8.298602317361886e-10
t27,8.272046556091718e-10,8.272046556091718e-10
t28,8.261663906868035e-10,8.261663906868035e-10
t29,8.240266460943391e-10,8.240266460943391e-10
t30,8.218339278963099e-10,8.218339278963099e-10
t31,8.189917204417866e-10,8.189917204417866e-10
t32,8.19133915380698e-10,8.19133915380698e-10
t33,8.201334250759107e-10,8.201334250759107e-10
t34,8.208637842608795e-10,8.208637842608795e-10
t35,8.220802481567474e-10,8.220802481567474e-10
t36,8.245919566242928e-10,8.245919566242928e-10
t37,8.251628098098631e-10,8.251628098098631e-10
t38,8.290791762042012e-10,8.290791762042012e-10
t39,8.367677225236009e-10,8.367677225236009e-10
t40,8.38137575522302e-10,8.38137575522302e-10
t41,8.39033616656133e-10,8.39033616656133e-10
t42,8.383551169753754e-10,8.383551169753754e-10
t43,8.369412435288095e-10,8.369412435288095e-10
t44,8.348240832923266e-10,8.348240832923266e-10
t45,8.330283833323989e-10,8.330283833323989e-10
t46,8.31486245285657e-10,8.31486245285657e-10
t47,8.346501900795062e-10,8.346501900795062e-10
t48,8.350799194774129e-10,8.350799194774129e-10
t49,8.338175161928592e-10,8.338175161928592e-10
t50,8.322707968284283e-10,8.322707968284283e-10
t51,8.307805011564883e-10,8.307805011564883e-10
t52,8.275822912198467e-10,8.275822912198467e-10
t53,8.233218498259856e-10,8.233218498259856e-10
t54,8.18420908792843e-10,8.18420908792843e-10
t55,8.154860099037519e-10,8.154860099037519e-10
t56,8.178578381979138e-10,8.178578381979138e-10
t57,8.162469004829376e-10,8.162469004829376e-10
t58,8.124470917287101e-10,8.124470917287101e-10
t59,8.136672946262181e-10,8.136672946262181e-10
t60,8.18554222662517e-10,8.18554222662517e-10
t61,8.227910143744672e-10,8.227910143744672e-10
t62,8.280577727601799e-10,8.280577727601799e-10
t63,8.364920686307588e-10,8.364920686307588e-10
t64,8.398166341787938e-10,8.398166341787938e-10
t65,8.412354743532664e-10,8.412354743532664e-10
t66,8.413152458994052e-10,8.413152458994052e-10
t67,8.420495032012968e-10,8.420495032012968e-10
t68,8.40123505076044e-10,8.40123505076044e-10
t69,8.343876558941002e-10,8.343876558941002e-10
t70,8.349743650793581e-10,8.349743650793581e-10
t71,8.376214237874939e-10,8.376214237874939e-10
t72,8.364224768811103e-10,8.364224768811103e-10
t73,8.342055922331922e-10,8.342055922331922e-10
t74,8.318010856858746e-10,8.318010856858746e-10
t75,8.278996444868692e-10,8.278996444868692e-10
t76,8.248940182435777e-10,8.248940182435777e-10
t77,8.211349270243639e-10,8.211349270243639e-10
t78,8.173363927356251e-10,8.173363927356251e-10
t79,8.159644645054093e-10,8.159644645054093e-10
t80,8.167774949422816e-10,8.167774949422816e-10
t81,8.189240165065246e-10,8.189240165065246e-10
t82,8.220571987810703e-10,8.220571987810703e-10
t83,8.274258716842833e-10,8.274258716842833e-10
t84,8.337598865649827e-10,8.337598865649827e-10
t85,8.326496942755938e-10,8.326496942755938e-10
t86,8.377928064135578e-10,8.377928064135578e-10
t87,8.407984719475791e-10,8.407984719475791e-10
t88,8.405160633644451e-10,8.405160633644451e-10
t89,8.399723927250041e-10,8.399723927250041e-10
t90,8.370441443870427e-10,8.370441443870427e-10
t91,8.355967177642601e-10,8.355967177642601e-10
t92,8.359747562804145e-10,8.359747562804145e-10
t93,8.358898294043675e-10,8.358898294043675e-10
t94,8.303241130543064e-10,8.303241130543064e-10
t95,8.339528955496675e-10,8.339528955496675e-10
t96,8.353776357555481e-10,8.353776357555481e-10
t97,8.333842023926044e-10,8.333842023926044e-10
t98,8.307884695371781e-10,8.307884695371781e-10
t99,8.279640030793614e-10,8.279640030793614e-10
t100,8.244295647228365e-10,8.244295647228365e-10
t101,8.222382721482028e-10,8.222382721482028e-10
t102,8.198978037987709e-10,8.198978037987709e-10
t103,8.191219848478065e-10,8.191219848478065e-10
t104,8.191258760548579e-10,8.191258760548579e-10
t105,8.196349980080273e-10,8.196349980080273e-10
t106,8.234483932490286e-10,8.234483932490286e-10
t107,8.278782260513629e-10,8.278782260513629e-10
t108,8.324094224398666e-10,8.324094224398666e-10
t109,8.316448061346919e-10,8.316448061346919e-10
t110,8.374417263264788e-10,8.374417263264788e-10
t111,8.389977074634414e-10,8.389977074634414e-10
t112,8.383566767740909e-10,8.383566767740909e-10
t113,8.351011712151863e-10,8.351011712151863e-10
t114,8.355961088580189e-10,8.355961088580189e-10
