Resource,ERC_REST_biomass_1,ERC_REST_conventional_hydroelectric_1,NaturalGas_CCAvgCF_Moderate,NaturalGas_CTAvgCF_Moderate,NaturalGas_CCCCSAvgCF_Moderate,NaturalGas_CCS100_Moderate,ERC_nuclear_1,LandbasedWind_Class3_Moderate_130,UtilityPV_Class1_Moderate_100_0.2,Liion_Moderate,TEGS
t60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12029.774872617803,0.0
t61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23720.422256574908,0.0
t62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41231.17964009837,0.0
t63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61026.30149372108,0.0
t64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82399.55618351208,0.0
t65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112695.18583563583,0.0
t66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130897.20563629421,0.0
t67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131720.1289222772,0.0
t68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110185.6570689955,0.0
t69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92291.63881892966,0.0
t70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75734.53635724314,0.0
t71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62921.15152195681,0.0
t72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54006.09195724232,0.0
t73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48769.85530492241,0.0
t74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46669.315816243405,0.0
t75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46669.315816243405,0.0
t76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46873.362145507585,0.0
t77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46873.362145507585,0.0
t78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43631.619470136415,0.0
t79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35157.15738396777,0.0
t80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19523.932009405446,0.0
t81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4199.2908996060805,0.0
t82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11846.485024931057,0.0
t84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11846.485024931057,0.0
t85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27949.183928096398,0.0
t86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48902.859107034405,0.0
t87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69766.84781193454,0.0
t88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88727.1623458685,0.0
t89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119022.79199799226,0.0
t90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131720.1289222772,0.0
t91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131720.1289222772,0.0
t92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115757.15209575543,0.0
t93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103284.44970092682,0.0
t94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92212.70854419179,0.0
t95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82351.54847255551,0.0
t96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76094.2627734677,0.0
t97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72288.70091839637,0.0
t98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70528.86725468637,0.0
t99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69239.60497043541,0.0
t100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67552.27899287164,0.0
t101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64650.97402903038,0.0
t102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59791.9460501688,0.0
t103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50039.97251896714,0.0
t104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32955.13650969125,0.0
t105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13666.92531148198,0.0
t106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4466.544159923343,0.0
t108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19524.26621780754,0.0
t109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38221.927277605355,0.0
t110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63067.577834157855,0.0
t111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86863.33293882669,0.0
t112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112189.43618217818,0.0
t113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131720.1289222772,0.0
t114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131720.1289222772,0.0
t115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127332.41107940633,0.0
t116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109936.62276567,0.0
t117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92826.5860935601,0.0
t118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75142.12286333946,0.0
t119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61276.47842065293,0.0
t120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52051.60679004591,0.0
t121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46355.20731889189,0.0
t122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43184.73438813449,0.0
t123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42688.47672560001,0.0
t124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42680.330177546166,0.0
t125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42680.330177546166,0.0
t126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40786.063886075826,0.0
t127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35078.170534052464,0.0
t128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21626.16689654466,0.0
t129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5536.698586062355,0.0
t130,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11735.08699038941,0.0
t132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14867.816674812937,0.0
t133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28284.9528221196,0.0
t134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46694.891982435074,0.0
t135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76990.52163455883,0.0
t136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101474.77988490458,0.0
t137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119486.38489040884,0.0
t138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125896.53938288617,0.0
