Resource,ERC_REST_biomass_1,ERC_REST_conventional_hydroelectric_1,NaturalGas_CCAvgCF_Moderate,NaturalGas_CTAvgCF_Moderate,NaturalGas_CCCCSAvgCF_Moderate,NaturalGas_CCS100_Moderate,ERC_nuclear_1,LandbasedWind_Class3_Moderate_130,UtilityPV_Class1_Moderate_100_0.2,Liion_Moderate,TEGS
Zone,1,1,1,1,1,1,1,1,1,1,1
t49,32448.83460972463,0.0,0.0,0.0,9049.314627400403,9698.564985150719,0.0,0.0,0.0,0.0,0.0
t50,32448.83460972463,0.0,0.0,0.0,9049.314627400403,9698.564985150766,0.0,0.0,0.0,0.0,0.0
t51,32448.83460972463,0.0,0.0,0.0,9049.314627400403,9698.56498515073,0.0,0.0,0.0,0.0,0.0
t52,32448.83460972463,0.0,0.0,0.0,9049.314627400403,9698.564985150791,0.0,0.0,0.0,0.0,0.0
t53,32448.83460972463,0.0,0.0,0.0,9049.314627400403,9698.564985150791,0.0,0.0,0.0,0.0,0.0
t54,32448.83460972463,0.0,0.0,0.0,9049.314627400403,9698.564985150791,0.0,0.0,0.0,0.0,0.0
t55,32448.83460972463,0.0,0.0,0.0,9049.314627400403,9698.564985150791,0.0,0.0,0.0,0.0,0.0
t56,32448.83460972463,0.0,0.0,0.0,9049.314627400403,9698.564985150766,0.0,0.0,0.0,0.0,0.0
t57,32448.83460972463,0.0,0.0,0.0,9049.314627400403,9698.564985150766,0.0,0.0,0.0,0.0,0.0
t58,32448.83460972463,0.0,0.0,0.0,9049.314627400403,9698.564985150766,0.0,0.0,0.0,0.0,0.0
t59,32448.83460972463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t60,22639.678337351485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t61,22639.678337351485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t62,22639.678337351485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t63,22639.678337351485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t64,28908.7675889124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t65,28908.7675889124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t66,28908.7675889124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t67,32448.83460972463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t68,32448.83460972463,0.0,0.0,0.0,1035.8140812077859,9698.564985150766,0.0,0.0,0.0,0.0,0.0
t69,32448.83460972463,0.0,0.0,0.0,1035.8140812077859,9698.564985150766,0.0,0.0,0.0,0.0,0.0
t70,32448.83460972463,0.0,0.0,0.0,1035.8140812077859,9698.564985150766,0.0,0.0,0.0,0.0,0.0
t71,32448.83460972463,0.0,0.0,0.0,1035.8140812077859,9698.56498515075,0.0,0.0,0.0,0.0,0.0
t72,32448.83460972463,0.0,0.0,0.0,1035.8140812077859,9698.56498515075,0.0,0.0,0.0,0.0,0.0
t73,32448.83460972463,0.0,0.0,0.0,1035.8140812077859,9698.56498515075,0.0,0.0,0.0,0.0,0.0
t74,32448.83460972463,0.0,0.0,0.0,1035.8140812077859,9698.56498515075,0.0,0.0,0.0,0.0,0.0
t75,32448.83460972463,0.0,0.0,0.0,1035.8140812077859,9698.564985150766,0.0,0.0,0.0,0.0,0.0
t76,32448.83460972463,0.0,0.0,0.0,1035.8140812077859,9698.564985150766,0.0,0.0,0.0,0.0,0.0
t77,32448.83460972463,0.0,0.0,0.0,1035.8140812077859,9698.564985150766,0.0,0.0,0.0,0.0,0.0
t78,32448.83460972463,0.0,0.0,0.0,1035.8140812077859,9698.564985150766,0.0,0.0,0.0,0.0,0.0
t79,32448.83460972463,0.0,0.0,0.0,1035.8140812077859,9698.564985150766,0.0,0.0,0.0,0.0,0.0
t80,32448.83460972463,0.0,0.0,0.0,1035.8140812077859,9698.564985150766,0.0,0.0,0.0,0.0,0.0
t81,32448.83460972463,0.0,0.0,0.0,1035.8140812077859,9698.564985150766,0.0,0.0,0.0,0.0,0.0
t82,32448.83460972463,0.0,0.0,0.0,1035.8140812077859,9698.564985150766,0.0,0.0,0.0,0.0,0.0
t83,32448.83460972463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t84,15541.968030451837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t85,32448.83460972463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t86,32448.83460972463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
