1,2,3,4,5,6
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0.016795484,0.040059958,0.031898989,0.040059958,0.031898989,0.024572539
0.234104981,0.31512662,0.315743136,0.31512662,0.315743136,0.252316919
0.463872941,0.55232781,0.552967223,0.55232781,0.552967223,0.550721877
0.654095231,0.774557697,0.775285612,0.774557697,0.775285612,0.773620287
0.691411871,0.8256,0.8256,0.8256,0.8256,0.794528936
0.692465655,0.8256,0.8256,0.8256,0.8256,0.806392139
0.676452185,0.825571213,0.825542426,0.825571213,0.825542426,0.757858921
0.431874255,0.610299553,0.607547114,0.610299553,0.607547114,0.461148306
0.236280244,0.306135199,0.303847271,0.306135199,0.303847271,0.270012294
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0.036432704,0.003111667,0.005625972,0.003111667,0.005625972,0.025701686
0.210858611,0.084361947,0.118144145,0.084361947,0.118144145,0.164708455
0.409678693,0.219289705,0.200702114,0.219289705,0.200702114,0.348591012
0.62478209,0.708632832,0.629507107,0.708632832,0.629507107,0.699423886
0.693197795,0.8256,0.8256,0.8256,0.8256,0.803560757
0.630399434,0.565060745,0.502781813,0.565060745,0.502781813,0.664850517
0.507816407,0.581623024,0.530269994,0.581623024,0.530269994,0.513078794
0.37864383,0.479419507,0.523109355,0.479419507,0.523109355,0.458098578
0.267221225,0.313568221,0.311423369,0.313568221,0.311423369,0.280288837
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0.047343679,0.070512175,0.05366013,0.070512175,0.05366013,0.064858398
0.34231929,0.350873637,0.351120204,0.350873637,0.351120204,0.350568877
0.583592276,0.596256652,0.596210004,0.596256652,0.596210004,0.59704107
0.79209365,0.824933036,0.825155357,0.824933036,0.825155357,0.825134446
0.825138018,0.8256,0.8256,0.8256,0.8256,0.8256
0.791710788,0.8256,0.8256,0.8256,0.8256,0.801320218
0.822676212,0.8256,0.8256,0.8256,0.8256,0.8256
0.627300395,0.623712586,0.623008765,0.623712586,0.623008765,0.626694533
0.315705248,0.30949646,0.308181322,0.30949646,0.308181322,0.312562117
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0.020008478,0.001473618,0.002947236,0.001473618,0.002947236,0.015667265
0.126297683,0.015131079,0.015640571,0.015131079,0.015640571,0.069911647
0.281247291,0.128453133,0.112343224,0.128453133,0.112343224,0.25939494
0.453182844,0.35703534,0.305613848,0.35703534,0.305613848,0.351488402
0.597814236,0.229961385,0.274131685,0.229961385,0.274131685,0.486849014
0.635320334,0.452196833,0.360990082,0.452196833,0.360990082,0.593226597
0.396197784,0.431621464,0.41295257,0.431621464,0.41295257,0.374120999
0.195765831,0.127805605,0.107546777,0.127805605,0.107546777,0.185477321
0.089353322,0.077844694,0.064243439,0.077844694,0.064243439,0.068975126
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0.047420748,0.049340111,0.050848082,0.049340111,0.050848082,0.051378682
0.286947931,0.308386783,0.30887969,0.308386783,0.30887969,0.308886869
0.437665131,0.291275162,0.275544087,0.291275162,0.275544087,0.367832141
0.662834034,0.765706418,0.765364649,0.765706418,0.765364649,0.707806663
0.8256,0.8256,0.8256,0.8256,0.8256,0.8256
0.8256,0.8256,0.8256,0.8256,0.8256,0.8256
0.78560983,0.8256,0.8256,0.8256,0.8256,0.8256
0.487938836,0.470310688,0.482146713,0.470310688,0.482146713,0.462378228
0.294709973,0.241125844,0.267329692,0.241125844,0.267329692,0.28221267
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0.006586652,0.005597517,0.005308167,0.005597517,0.005308167,0.006825423
0.24109184,0.27297812,0.273497726,0.27297812,0.273497726,0.273311644
0.472538482,0.50567508,0.505957426,0.50567508,0.505957426,0.505161543
0.709385454,0.725063126,0.725152826,0.725063126,0.725152826,0.72414945
0.765834053,0.8256,0.8256,0.8256,0.8256,0.8256
0.795559939,0.8256,0.8256,0.8256,0.8256,0.8256
0.779406421,0.765096288,0.765121511,0.765096288,0.765121511,0.770109679
0.566004338,0.548730197,0.548434173,0.548730197,0.548434173,0.554223535
0.275069845,0.258190608,0.25693215,0.258190608,0.25693215,0.263062274
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0.033621176,0.030291162,0.031721691,0.030291162,0.031721691,0.034322062
0.292459145,0.292451149,0.292571739,0.292451149,0.292571739,0.291785938
0.500568043,0.531753157,0.531976945,0.531753157,0.531976945,0.529722901
0.71643938,0.767696027,0.76860019,0.767696027,0.76860019,0.765823126
0.77676332,0.8256,0.8256,0.8256,0.8256,0.8256
0.78344874,0.8256,0.8256,0.8256,0.8256,0.8256
0.784444353,0.8256,0.8256,0.8256,0.8256,0.8256
0.610111641,0.61840218,0.617024077,0.61840218,0.617024077,0.616809094
0.33084878,0.320533548,0.318490582,0.320533548,0.318490582,0.319944693
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0.047894187,0.048242596,0.050294639,0.048242596,0.050294639,0.052667322
0.296894848,0.307021822,0.308153986,0.307021822,0.308153986,0.30754566
0.527379345,0.538955539,0.53989928,0.538955539,0.53989928,0.539511552
0.754952731,0.756195181,0.756151508,0.756195181,0.756151508,0.756299643
0.790783603,0.81389543,0.802190859,0.81389543,0.802190859,0.785281683
0.787196265,0.795516808,0.795142325,0.795516808,0.795142325,0.794030502
0.675005222,0.707114695,0.700201667,0.707114695,0.700201667,0.695032501
0.50826643,0.530237279,0.526963744,0.530237279,0.526963744,0.535058798
0.276755612,0.286147862,0.272763119,0.286147862,0.272763119,0.262734207
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
