Region,Resource,Zone,Cluster,AnnualSum
NENGREST,NENGREST_biomass_1,1,1,0.0
NENGREST,NENGREST_conventional_hydroelectric_1,1,1,-1.7385024498842531e-9
NENGREST,NENGREST_hydroelectric_pumped_storage_1,1,1,0.0
NENGREST,NaturalGas_CCAvgCF_Moderate,1,1,2.7839629635560304e7
NENGREST,NaturalGas_CTAvgCF_Moderate,1,1,3.274698553233534e8
NENGREST,NaturalGas_CCCCSAvgCF_Moderate,1,1,2.8821099300295267e9
NENGREST,NaturalGas_CCS100_Moderate,1,1,3.7018661909420484e8
NENGREST,NENGREST_nuclear_1,1,1,1.9212258432155133e-6
NENGREST,OffShoreWind_Class3_Moderate_fixed_1,1,1,0.0
NENGREST,LandbasedWind_Class3_Moderate_130,1,1,2.185861440030738e9
NENGREST,UtilityPV_Class1_Moderate_100_0.2,1,1,5.804571231649264e8
NENGREST,Liion_Moderate,1,1,-1.559544550816649e-9
NENGREST,TEGS,1,1,4.550190162818698e8
