Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1
,,,,,,,211,15324.045999999998
,,,,,,,212,15038.483999999999
,,,,,,,213,14815.307
,,,,,,,214,15406.047000000002
,,,,,,,215,16157.153000000002
,,,,,,,216,15910.940000000002
,,,,,,,217,15378.487999999998
,,,,,,,218,14806.533
,,,,,,,219,14088.591
,,,,,,,220,13257.658
,,,,,,,221,12474.61
,,,,,,,222,11847.716
,,,,,,,223,11439.357
,,,,,,,224,11275.254
,,,,,,,225,11217.758
,,,,,,,226,11328.114
,,,,,,,227,11633.601
,,,,,,,228,12179.587
,,,,,,,229,12765.515
,,,,,,,230,13651.953
,,,,,,,231,14193.6
,,,,,,,232,15173.879
,,,,,,,233,15468.205
,,,,,,,234,14661.735
,,,,,,,235,14705.633
,,,,,,,236,14291.984999999999
,,,,,,,237,14214.284999999998
,,,,,,,238,14965.212999999998
,,,,,,,239,16102.312
,,,,,,,240,15987.988
,,,,,,,241,15492.665
,,,,,,,242,14909.720000000001
,,,,,,,243,14140.924
,,,,,,,244,13252.875
,,,,,,,245,12482.515
,,,,,,,246,11975.947
,,,,,,,247,11703.96
,,,,,,,248,11666.783
,,,,,,,249,11776.073
,,,,,,,250,12182.158
,,,,,,,251,13105.603
,,,,,,,252,14567.667000000001
,,,,,,,253,15715.37
,,,,,,,254,16353.670000000002
,,,,,,,255,16636.869
,,,,,,,256,16805.887
,,,,,,,257,16764.229
,,,,,,,258,16603.599
,,,,,,,259,16367.054000000002
,,,,,,,260,16151.666000000001
,,,,,,,261,16093.208
,,,,,,,262,16585.476
,,,,,,,263,17283.875
,,,,,,,264,16950.121
,,,,,,,265,16333.119
,,,,,,,266,15552.082
,,,,,,,267,14605.929999999998
,,,,,,,268,13562.173
,,,,,,,269,12694.72
,,,,,,,270,12111.957
,,,,,,,271,11815.27
,,,,,,,272,11696.317
,,,,,,,273,11744.397
,,,,,,,274,12106.077
,,,,,,,275,12946.64
,,,,,,,276,14322.921
,,,,,,,277,15392.533
,,,,,,,278,16006.834
,,,,,,,279,16106.936999999998
,,,,,,,280,16577.248
,,,,,,,281,16347.682999999999
,,,,,,,282,16469.697
,,,,,,,283,15600.875
,,,,,,,284,15443.313
,,,,,,,285,15317.095999999998
,,,,,,,286,15898.415
,,,,,,,287,16803.924
,,,,,,,288,16559.056
,,,,,,,289,15933.007
,,,,,,,290,15167.507999999998
,,,,,,,291,14229.486999999997
,,,,,,,292,13146.892
,,,,,,,293,12213.457
,,,,,,,294,11610.778
,,,,,,,295,11274.075
,,,,,,,296,11130.734
,,,,,,,297,11154.773
,,,,,,,298,11526.217
,,,,,,,299,12395.205
,,,,,,,300,13790.339
,,,,,,,301,14925.769
,,,,,,,302,15589.522
,,,,,,,303,15831.568000000001
,,,,,,,304,16086.894
,,,,,,,305,16058.042
,,,,,,,306,15604.718
,,,,,,,307,15330.276
,,,,,,,308,15280.037
,,,,,,,309,15260.339
,,,,,,,310,15830.499000000002
,,,,,,,311,16590.271
,,,,,,,312,16297.865
,,,,,,,313,15683.578000000001
,,,,,,,314,14935.577
,,,,,,,315,14006.109
,,,,,,,316,12917.715
,,,,,,,317,12026.177
,,,,,,,318,11431.858
,,,,,,,319,11115.206
,,,,,,,320,10972.59
,,,,,,,321,10985.868
,,,,,,,322,11311.302
,,,,,,,323,12147.119
,,,,,,,324,13472.209
,,,,,,,325,14594.058
,,,,,,,326,15187.024000000001
,,,,,,,327,15358.358
,,,,,,,328,15527.744
,,,,,,,329,15638.263
,,,,,,,330,15433.502999999999
,,,,,,,331,15315.502
,,,,,,,332,15232.549
,,,,,,,333,15111.971
,,,,,,,334,15630.871000000001
,,,,,,,335,16380.139000000001
,,,,,,,336,16118.958
,,,,,,,337,15483.998
,,,,,,,338,14763.503999999999
,,,,,,,339,13854.578
,,,,,,,340,12790.339
,,,,,,,341,11876.553
,,,,,,,342,11264.964
,,,,,,,343,10902.175
,,,,,,,344,10754.408
,,,,,,,345,10772.208
,,,,,,,346,11100.262
,,,,,,,347,11910.861
,,,,,,,348,13205.554
,,,,,,,349,14327.311
,,,,,,,350,14945.07
,,,,,,,351,15385.477
,,,,,,,352,15344.006999999998
,,,,,,,353,15545.841
,,,,,,,354,15259.117
,,,,,,,355,14965.928
,,,,,,,356,14692.251000000002
,,,,,,,357,14666.055
,,,,,,,358,15214.969
,,,,,,,359,15881.846
,,,,,,,360,15593.947
,,,,,,,361,15023.098
,,,,,,,362,14385.695
,,,,,,,363,13623.987
,,,,,,,364,12708.112
,,,,,,,365,11856.501
,,,,,,,366,11209.102
,,,,,,,367,10772.88
,,,,,,,368,10567.524
,,,,,,,369,10483.679
,,,,,,,370,10586.803
,,,,,,,371,10933.825
,,,,,,,372,11521.925
,,,,,,,373,12272.401
,,,,,,,374,13138.96
,,,,,,,375,13881.934
,,,,,,,376,14291.234
,,,,,,,377,14537.556000000002
,,,,,,,378,14586.854999999998
,,,,,,,379,14336.314
,,,,,,,380,14140.012000000002
,,,,,,,381,13879.447
,,,,,,,382,14357.082999999999
,,,,,,,383,15018.351999999999
,,,,,,,384,14795.136
,,,,,,,385,14224.846
,,,,,,,386,13682.823
,,,,,,,387,13032.928
,,,,,,,388,12314.05
,,,,,,,389,11595.69
,,,,,,,390,11019.939
,,,,,,,391,10697.222
,,,,,,,392,10523.215
,,,,,,,393,10488.321
,,,,,,,394,10582.16
,,,,,,,395,10867.098
,,,,,,,396,11398.176
,,,,,,,397,11956.355
,,,,,,,398,12791.662
,,,,,,,399,13687.787
,,,,,,,400,14130.514
,,,,,,,401,14172.871000000001
,,,,,,,402,14447.799
,,,,,,,403,14136.380999999998
,,,,,,,404,14301.29
,,,,,,,405,14058.062999999998
,,,,,,,406,14554.218
,,,,,,,407,15400.780999999999
,,,,,,,408,15186.622
