BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1
AnnualSum,1.0000673463492437e8,1.217119365082119e7,-1.5179156813354824e7,0.0,0.0,31248.527609280936,0.0,0.0,0.0,-9.703002e7
t1,8815.723341551507,418.2766584484922,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9234.0
t2,8732.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8732.0
t3,8359.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8359.0
t4,8171.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8171.0
t5,8142.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8142.0
t6,8286.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8286.0
t7,8594.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8594.0
t8,6864.603658128246,2008.3963418717547,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8873.0
t9,9644.982023539036,0.0,-298.98202353903616,0.0,0.0,0.0,0.0,0.0,0.0,-9346.0
t10,15450.567871233672,0.0,-5641.567871233672,0.0,0.0,0.0,0.0,0.0,0.0,-9809.0
t11,18077.089700418386,0.0,-7988.089700418386,0.0,0.0,0.0,0.0,0.0,0.0,-10089.0
t12,18925.91300158755,0.0,-8733.913001587549,0.0,0.0,0.0,0.0,0.0,0.0,-10192.0
t13,18078.382169888602,0.0,-7836.382169888597,0.0,0.0,0.0,0.0,0.0,0.0,-10242.0
t14,17890.460747326222,0.0,-7740.460747326224,0.0,0.0,0.0,0.0,0.0,0.0,-10150.0
t15,16120.67638562215,0.0,-6071.676385622152,0.0,0.0,0.0,0.0,0.0,0.0,-10049.0
t16,13119.054314275607,0.0,-3011.0543142756064,0.0,0.0,0.0,0.0,0.0,0.0,-10108.0
t17,8294.232993377984,2798.767006622017,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11093.0
t18,6945.163131523896,5081.836868476105,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12027.0
t19,7145.543655321869,4810.456344678132,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11956.0
t20,7132.2752024109805,4458.72479758902,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11591.0
t21,7253.767723570486,3908.232276429515,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11162.0
t22,7200.213438247419,3364.7865617525817,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10565.0
t23,7179.0322007665545,2645.967799233446,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9825.0
t24,7112.303346704995,1882.696653295006,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8995.0
t25,6925.68708401167,1367.312915988331,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8293.0
t26,6942.570154918541,925.429845081459,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7868.0
t27,6999.838303385286,664.1616966147149,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7664.0
t28,7305.265837216786,311.7341627832152,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7617.0
t29,7262.530381162334,522.469618837667,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7785.0
t30,7104.563636262886,1105.4363637371152,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8210.0
t31,7017.356536153998,1830.6434638460034,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8848.0
t32,6924.73516681033,2447.264833189671,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9372.0
t33,10140.047387903865,0.0,-127.0473879038665,0.0,0.0,0.0,0.0,0.0,0.0,-10013.0
t34,14129.210400068147,0.0,-3458.2104000681475,0.0,0.0,0.0,0.0,0.0,0.0,-10671.0
t35,18536.295892216145,0.0,-7383.295892216143,0.0,0.0,0.0,0.0,0.0,0.0,-11153.0
t36,20086.67659906833,0.0,-8736.676599068329,0.0,0.0,0.0,0.0,0.0,0.0,-11350.0
t37,20037.509060162294,0.0,-8705.509060162292,0.0,0.0,0.0,0.0,0.0,0.0,-11332.0
t38,18961.105543441794,0.0,-7703.105543441793,0.0,0.0,0.0,0.0,0.0,0.0,-11258.0
t39,17024.765043049985,0.0,-5801.765043049983,0.0,0.0,0.0,0.0,0.0,0.0,-11223.0
t40,13788.461973705058,0.0,-2395.4619737050566,0.0,0.0,0.0,0.0,0.0,0.0,-11393.0
t41,12127.697271765817,335.30272823418363,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12463.0
t42,8578.233451859203,4965.766548140797,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13544.0
t43,8525.842328539824,4899.157671460176,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13425.0
t44,8391.949755103786,4709.050244896214,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13101.0
t45,8520.745981532767,4050.2540184672325,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12571.0
t46,8585.343083672984,3152.656916327017,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11738.0
t47,8515.503530241534,2188.4964697584664,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10704.0
t48,8517.785079107667,1249.214920892333,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9767.0
t49,8495.5404513617,651.4595486383005,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9147.0
t50,8315.4968487221,520.5031512779013,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8836.0
t51,8252.125404210581,434.874595789419,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8687.0
t52,8270.661973429342,434.33802657065826,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8705.0
t53,8291.59427972804,725.4057202719587,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9017.0
t54,8315.618897587055,1629.3811024129438,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9945.0
t55,8278.907824431642,3304.0921755683576,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11583.0
t56,8247.062582871298,4254.937417128698,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12502.0
t57,12657.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12657.0
t58,17415.784033328724,0.0,-4671.784033328726,0.0,0.0,0.0,0.0,0.0,0.0,-12744.0
t59,19918.190872052957,0.0,-7059.190872052956,0.0,0.0,0.0,0.0,0.0,0.0,-12859.0
t60,21313.20579426209,0.0,-8434.20579426209,0.0,0.0,0.0,0.0,0.0,0.0,-12879.0
t61,21737.910765000248,0.0,-8910.91076500025,0.0,0.0,0.0,0.0,0.0,0.0,-12827.0
t62,20922.80612227317,0.0,-8114.806122273172,0.0,0.0,0.0,0.0,0.0,0.0,-12808.0
t63,19880.174312698422,0.0,-7120.174312698422,0.0,0.0,0.0,0.0,0.0,0.0,-12760.0
t64,16659.438011091526,0.0,-3721.4380110915254,0.0,0.0,0.0,0.0,0.0,0.0,-12938.0
t65,13947.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13947.0
t66,9588.576256716422,5461.423743283577,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15050.0
t67,10030.740976881547,5049.259023118451,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15080.0
t68,9902.473640672892,4923.5263593271075,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14826.0
t69,9998.278434678054,4345.7215653219455,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14344.0
t70,9978.593480622283,3519.406519377716,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13498.0
t71,10113.741516733571,2254.2584832664297,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12368.0
t72,10022.404630529152,1355.5953694708496,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11378.0
t73,10263.779533008086,500.22046699191964,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10764.0
t74,10099.040166101035,340.95983389896696,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10440.0
