Resource,ERC_REST_biomass_1,ERC_REST_conventional_hydroelectric_1,NaturalGas_CCAvgCF_Moderate,NaturalGas_CTAvgCF_Moderate,NaturalGas_CCCCSAvgCF_Moderate,NaturalGas_CCS100_Moderate,ERC_nuclear_1,LandbasedWind_Class3_Moderate_130,UtilityPV_Class1_Moderate_100_0.2,Liion_Moderate,TEGS,Total
t359,0.0,0.0,48891.66467512427,0.0,0.0,0.0,0.0,986.7397165430534,0.0,892.5956083326746,0.0,50771.0
t360,0.0,0.0,47274.04471111426,0.0,0.0,0.0,0.0,982.9552888857424,0.0,0.0,0.0,48257.0
t361,0.0,0.0,44414.148873275146,0.0,0.0,0.0,0.0,813.8511267248518,0.0,0.0,0.0,45228.0
t362,0.0,0.0,42309.782531759454,0.0,0.0,0.0,0.0,676.2174682405463,0.0,0.0,0.0,42986.0
t363,0.0,0.0,41069.268571106746,0.0,0.0,0.0,0.0,745.7314288932563,0.0,0.0,0.0,41815.0
t364,0.0,0.0,40602.19480737822,0.0,0.0,0.0,0.0,727.8051926217838,0.0,0.0,0.0,41330.0
t365,0.0,0.0,40322.30297584407,0.0,0.0,0.0,0.0,802.6970241559357,0.0,0.0,0.0,41125.0
t366,0.0,0.0,41316.54561322321,0.0,0.0,0.0,0.0,764.4543867767942,0.0,0.0,0.0,42081.0
t367,0.0,0.0,43646.3111718139,0.0,0.0,0.0,0.0,804.6888281860993,0.0,0.0,0.0,44451.0
t368,0.0,0.0,47024.15706924498,0.0,0.0,0.0,0.0,815.8429307550155,0.0,0.0,0.0,47840.0
t369,0.0,0.0,48774.5964099002,0.0,0.0,0.0,0.0,825.4035900998008,0.0,0.0,0.0,49600.0
t370,0.0,0.0,48788.41353811662,0.0,0.0,0.0,0.0,629.8084343377341,1357.7780275456469,0.0,0.0,50776.0
t371,0.0,0.0,37644.40048555567,0.0,0.0,0.0,0.0,630.0076147407506,14153.591899703575,0.0,0.0,52428.0
t372,0.0,0.0,25311.213809945868,0.0,0.0,0.0,0.0,1100.8700874714282,27766.916102582705,0.0,0.0,54179.0
t373,0.0,0.0,22881.29906795816,0.0,0.0,0.0,0.0,1213.207834772656,31236.003419034412,0.0,0.0,55330.51032176523
t374,0.0,0.0,22881.29906795816,0.0,0.0,0.0,0.0,1320.3668915954584,33617.44655635269,0.0,0.0,57819.11251590631
t375,0.0,0.0,22881.29906795816,0.0,0.0,0.0,0.0,1257.4258842422882,31790.488686827917,0.0,0.0,55929.21363902837
t376,0.0,0.0,22881.29906795816,0.0,0.0,0.0,0.0,1205.4397990550178,32657.760515940845,0.0,0.0,56744.49938295402
t377,0.0,0.0,22881.29906795816,0.0,0.0,0.0,0.0,1225.7562001626868,29437.48069144777,0.0,0.0,53544.53595956862
t378,0.0,0.0,34051.521121045,0.0,0.0,0.0,0.0,1313.594757892902,18354.884121062096,0.0,0.0,53720.0
t379,0.0,0.0,45229.84586580014,0.0,0.0,0.0,0.0,1275.3521205137606,8416.802013686105,0.0,0.0,54922.0
t380,0.0,0.0,48891.66467512427,0.0,0.0,0.0,0.0,1289.892289933955,0.0,7382.443034941774,0.0,57564.0
t381,0.0,0.0,48891.66467512427,0.0,0.0,0.0,0.0,870.4183611814984,0.0,7483.9169636942315,0.0,57246.0
t382,0.0,0.0,48891.66467512427,0.0,0.0,0.0,0.0,1107.4430407709683,0.0,5914.892284104761,0.0,55914.0
t383,0.0,0.0,48891.66467512427,0.0,0.0,0.0,0.0,1128.5561634907026,0.0,3786.7791613850204,0.0,53806.99999999999
t384,0.0,0.0,48568.68237590352,0.0,0.0,0.0,0.0,1089.3176240964794,0.0,0.0,0.0,49658.0
t385,0.0,0.0,44473.42249031574,0.0,0.0,0.0,0.0,1220.5775096842615,0.0,0.0,0.0,45694.0
t386,0.0,0.0,41290.49206437939,0.0,0.0,0.0,0.0,1480.5079356206127,0.0,0.0,0.0,42771.0
t387,0.0,0.0,39744.120768609806,0.0,0.0,0.0,0.0,1438.8792313901934,0.0,0.0,0.0,41183.0
t388,0.0,0.0,38985.51588769989,0.0,0.0,0.0,0.0,1340.4841123001108,0.0,0.0,0.0,40326.0
t389,0.0,0.0,39007.483960089514,0.0,0.0,0.0,0.0,1235.5160399104884,0.0,0.0,0.0,40243.0
t390,0.0,0.0,39994.77500869866,0.0,0.0,0.0,0.0,1063.224991301336,0.0,0.0,0.0,41058.0
t391,0.0,0.0,43397.23159756252,0.0,0.0,0.0,0.0,979.7684024374807,0.0,0.0,0.0,44377.0
t392,0.0,0.0,48891.66467512432,0.0,0.0,0.0,0.0,1052.2700691354362,0.0,481.06525574025,0.0,50425.0
t393,0.0,0.0,48891.66467512432,0.0,0.0,0.0,0.0,951.2856048061411,0.0,3413.049720069539,0.0,53256.0
t394,0.0,0.0,46743.117350235436,0.0,0.0,0.0,0.0,1014.2266121593112,5466.6560376052485,0.0,0.0,53224.0
t395,0.0,0.0,28608.52019581456,0.0,0.0,0.0,0.0,1016.0192357864585,24404.460568398983,0.0,0.0,54029.0
t396,0.0,0.0,22881.29906795818,0.0,0.0,0.0,0.0,902.6855864701489,37939.58813094826,0.0,0.0,61723.572785376586
t397,0.0,0.0,22881.29906795818,0.0,0.0,0.0,0.0,721.6306001282767,47053.051122118515,0.0,0.0,70655.98079020498
t398,0.0,0.0,22881.29906795818,0.0,0.0,0.0,0.0,505.121502049492,47266.314686654485,0.0,0.0,70652.73525666216
t399,0.0,0.0,22881.29906795818,0.0,0.0,0.0,0.0,369.47964759535,40612.49147313236,0.0,0.0,63863.27018868589
t400,0.0,0.0,22881.29906795818,0.0,0.0,0.0,0.0,267.49928125097307,42467.88448459526,0.0,0.0,65616.68283380441
t401,0.0,0.0,22881.29906795818,0.0,0.0,0.0,0.0,164.323832488498,38444.31190035004,0.0,0.0,61489.93480079672
t402,0.0,0.0,22881.29906795818,0.0,0.0,0.0,0.0,292.5960120310346,32096.166462662804,0.0,0.0,55270.06154265202
