Resource,ERC_REST_biomass_1,ERC_REST_conventional_hydroelectric_1,NaturalGas_CCAvgCF_Moderate,NaturalGas_CTAvgCF_Moderate,NaturalGas_CCCCSAvgCF_Moderate,NaturalGas_CCS100_Moderate,ERC_nuclear_1,LandbasedWind_Class3_Moderate_130,UtilityPV_Class1_Moderate_100_0.2,Liion_Moderate,TEGS
t59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1900.7466132093741,0.0
t61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14655.309547589615,0.0
t62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32566.980893368116,79.98618633797894
t63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50836.00831146502,1941.1731109201587
t64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68207.38556385602,3801.584478910865
t65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80808.24255678701,5661.220613484529
t66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83012.6831948921,7520.081837680917
t67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83012.6831948921,7516.948219579154
t68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73096.95204153053,3753.7749884155974
t69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62352.45452895232,0.0
t70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49916.79832123744,0.0
t71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39628.85424931611,0.0
t72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33166.95259060218,0.0
t73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30680.23355947702,0.0
t74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30691.142798673707,0.0
t75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31692.179480252824,0.0
t76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32955.359609640065,0.0
t77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33919.290121615624,0.0
t78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33009.27015187278,0.0
t79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27342.151972790383,0.0
t80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14494.585648104992,0.0
t81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,177.44529701758685,0.0
t82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5382.379652861177,0.0
t85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17220.84799277122,0.0
t86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31588.541908833868,0.0
t87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46927.48531785134,0.0
t88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60912.18523393878,0.0
t89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73213.7286311523,0.0
t90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75215.79374845473,0.0
t91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75215.79374845473,0.0
t92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66826.23677667344,0.0
t93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58124.95221585831,0.0
t94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50087.343748019644,0.0
t95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43818.34002413281,0.0
t96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41001.41667232937,0.0
t97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41001.41667232937,0.0
t98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41001.41667232937,0.0
t99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41001.41667232937,0.0
t100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41001.41667232937,0.0
t101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41001.41667232937,0.0
t102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41001.41667232937,0.0
t103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37345.4776679813,0.0
t104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26368.241442737435,0.0
t105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13267.141171661066,0.0
t106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8688.869095810762,0.0
t107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8688.869095810762,0.0
t108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10303.820317491043,0.0
t109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15313.903973165763,0.0
t110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25548.672431621133,0.0
t111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34999.49108525863,0.0
t112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43434.723745283074,0.0
t113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47021.16473510185,0.0
t114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47021.16473510185,0.0
