BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
t3730,82262.07754203082,0.0,-13164.077542030815,0.0,0.0,0.0,0.0,0.0,0.0,-69098.0
t3731,91791.69154257534,0.0,-16899.691542575332,0.0,0.0,0.0,0.0,0.0,0.0,-74892.0
t3732,94956.09698520723,0.0,-14511.09698520723,0.0,0.0,0.0,0.0,0.0,0.0,-80445.0
t3733,99069.0258080519,0.0,-13762.02580805189,0.0,0.0,0.0,0.0,0.0,0.0,-85307.0
t3734,99454.60852785871,0.0,-9793.608527858705,0.0,0.0,0.0,0.0,0.0,0.0,-89661.0
t3735,100962.61073927121,0.0,-8080.610739271222,0.0,0.0,0.0,0.0,0.0,0.0,-92882.0
t3736,100288.3337292798,0.0,-5422.333729279802,0.0,0.0,0.0,0.0,0.0,0.0,-94866.0
t3737,96884.62524071068,0.0,-1454.62524071068,0.0,0.0,0.0,0.0,0.0,0.0,-95430.0
t3738,94140.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-94140.0
t3739,89538.5521608399,1651.447839160102,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-91190.0
t3740,77483.30327481481,10013.696725185197,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-87497.0
t3741,63700.68122507244,21277.31877492756,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-84978.0
t3742,61620.67442803114,20590.32557196886,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-82211.0
t3743,61549.766204557316,14359.233795442686,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-75909.0
t3744,61565.700636798625,7385.299363201377,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-68951.0
t3745,61564.50555438053,1618.4944456194735,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-63183.0
t3746,59318.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-59318.0
t3747,56413.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-56413.0
t3748,54625.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-54625.0
t3749,54376.62014983258,0.0,-182.6201498325845,0.0,0.0,0.0,0.0,0.0,0.0,-54194.0
t3750,55980.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-55980.0
t3751,58349.430305181704,154.56969481829955,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-58504.0
t3752,61461.81438918625,0.0,-545.8143891862492,0.0,0.0,0.0,0.0,0.0,0.0,-60916.0
t3753,72774.25415325146,0.0,-7927.254153251423,0.0,0.0,0.0,0.0,0.0,0.0,-64847.0
t3754,85145.08668386837,0.0,-15207.08668386838,0.0,0.0,0.0,0.0,0.0,0.0,-69938.0
t3755,93087.8668168789,0.0,-17176.866816878908,0.0,0.0,0.0,0.0,0.0,0.0,-75911.0
t3756,96613.90017956178,0.0,-15153.900179561771,0.0,0.0,0.0,0.0,0.0,0.0,-81460.0
t3757,98228.08815674303,0.0,-12116.08815674302,0.0,0.0,0.0,0.0,0.0,0.0,-86112.0
t3758,97880.48961865946,0.0,-7683.489618659471,0.0,0.0,0.0,0.0,0.0,0.0,-90197.0
t3759,95051.90296367147,0.0,-2287.9029636714768,0.0,0.0,0.0,0.0,0.0,0.0,-92764.0
t3760,94655.94574764746,0.0,-1942.9457476474636,0.0,0.0,0.0,0.0,0.0,0.0,-92713.0
t3761,92330.90670051635,0.0,-1584.9067005163524,0.0,0.0,0.0,0.0,0.0,0.0,-90746.0
t3762,88111.73283665007,0.0,-175.7328366500642,0.0,0.0,0.0,0.0,0.0,0.0,-87936.0
t3763,84109.19611154197,768.8038884580421,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-84878.0
