Resource,ERC_REST_biomass_1,ERC_REST_conventional_hydroelectric_1,NaturalGas_CCAvgCF_Moderate,NaturalGas_CTAvgCF_Moderate,NaturalGas_CCCCSAvgCF_Moderate,NaturalGas_CCS100_Moderate,ERC_nuclear_1,LandbasedWind_Class3_Moderate_130,UtilityPV_Class1_Moderate_100_0.2,Liion_Moderate,TEGS
Zone,1,1,1,1,1,1,1,1,1,1,1
t53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-53.25638176450156,-28.943685741576935
t54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-53.25638176450156,-28.95575160327002
t55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-53.25638176450156,-28.967822494903647
t56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-53.25638176450156,-28.943685741576935
t57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-53.25638176450156,-28.95575160327002
t58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-53.25638176450156,-28.967822494903647
t59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-34.7220652173913,-0.15145201515151516
t60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16304347826086954,-0.15151515151515152
t61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16304347826086954,-0.15145201515151516
t62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16304347826086954,-0.15151515151515152
t63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16304347826086954,-0.15157831419867812
t64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16304347826086954,-0.15164150321306702
t65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16304347826086954,-0.15170471856929485
t66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16304347826086954,-0.15176796027834286
t67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-34.7220652173913,-29.21383189089232
t68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-53.79827682167198,-29.226010369413256
t69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-53.79827682167198,-29.23819392482173
t70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-53.79827682167198,-29.250382559234165
t71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-53.79827682167198,-29.23819392482173
t72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-53.79827682167198,-29.250382559234165
t73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-53.79827682167198,-29.262576274767863
t74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-53.79827682167198,-29.274775073541008
t75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-53.79827682167198,-29.28697895767267
t76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-53.79827682167198,-29.21383189089232
t77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-53.79827682167198,-29.226010369413256
t78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-53.79827682167198,-29.23819392482173
t79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-53.79827682167198,-29.250382559234165
t80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-53.79827682167198,-29.262576274767863
t81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-53.79827682167198,-29.23819392482173
t82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-30.637557825088663,-16.581592527189958
t83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-30.637557825088663,-16.588504957205625
t84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-30.637557825088663,-16.59542026883165
t85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-30.637557825088663,-16.602338463269295
t86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-30.637557825088663,-16.60925954172033
t87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-30.637557825088663,-16.616183505387028
t88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-30.637557825088663,-16.623110355472154
t89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-30.637557825088663,-16.63004009317898
t90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-30.637557825088663,-16.636972719711284
