Region,Resource,Zone,Cluster,AnnualSum
ERC_REST,ERC_REST_biomass_1,1,1,1.6848454829378893e10
ERC_REST,ERC_REST_conventional_hydroelectric_1,1,1,0.0
ERC_REST,NaturalGas_CCAvgCF_Moderate,1,1,0.0
ERC_REST,NaturalGas_CTAvgCF_Moderate,1,1,6.419250745360285e8
ERC_REST,NaturalGas_CCCCSAvgCF_Moderate,1,1,4.2886823576454897e9
ERC_REST,NaturalGas_CCS100_Moderate,1,1,4.3783631398554945e9
ERC_REST,ERC_nuclear_1,1,1,0.0
ERC_REST,LandbasedWind_Class3_Moderate_130,1,1,1.9077272892670345e9
ERC_REST,UtilityPV_Class1_Moderate_100_0.2,1,1,6.273924940361867e9
ERC_REST,Liion_Moderate,1,1,3.742825611545721e9
ERC_REST,TEGS,1,1,1.7964634278049168e8
