BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1
AnnualSum,1.0084958525348617e8,1.2329396929222098e7,-1.6165143583158385e7,0.0,0.0,16181.40045014579,0.0,0.0,0.0,-9.703002e7
t1,8193.040192386323,1040.959807613678,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9234.0
t2,8167.232167840079,564.7678321599215,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8732.0
t3,8212.706454044244,146.2935459557557,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8359.0
t4,8171.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8171.0
t5,8139.695113318161,2.3048866818389797,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8142.0
t6,8081.185915530767,204.81408446923353,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8286.0
t7,8062.335609433759,531.6643905662415,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8594.0
t8,7740.139576758537,1132.8604232414627,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8873.0
t9,9346.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9346.0
t10,14914.577036069613,0.0,-5105.577036069587,0.0,0.0,0.0,0.0,0.0,0.0,-9809.0
t11,17823.680844774197,0.0,-7734.680844774197,0.0,0.0,0.0,0.0,0.0,0.0,-10089.0
t12,19292.526920943994,0.0,-9100.526920943992,0.0,0.0,0.0,0.0,0.0,0.0,-10192.0
t13,18352.792653416436,0.0,-8110.792653416438,0.0,0.0,0.0,0.0,0.0,0.0,-10242.0
t14,18143.51621208123,0.0,-7993.516212081233,0.0,0.0,0.0,0.0,0.0,0.0,-10150.0
t15,16167.736787602495,0.0,-6118.736787602503,0.0,0.0,0.0,0.0,0.0,0.0,-10049.0
t16,12304.046414878809,0.0,-2196.0464148788087,0.0,0.0,0.0,0.0,0.0,0.0,-10108.0
t17,9047.845912481684,2045.1540875183155,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11093.0
t18,7052.273096677707,4974.726903322293,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12027.0
t19,7196.819591452397,4759.180408547603,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11956.0
t20,7187.2482602521395,4403.7517397478605,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11591.0
t21,7274.888105393235,3887.111894606765,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11162.0
t22,7236.256186098435,3328.7438139015658,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10565.0
t23,7220.976888615711,2604.023111384289,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9825.0
t24,7172.841362407311,1822.1586375926888,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8995.0
t25,7038.223855031867,1254.7761449681332,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8293.0
