Resource,ERC_REST_biomass_1,ERC_REST_conventional_hydroelectric_1,NaturalGas_CCAvgCF_Moderate,NaturalGas_CTAvgCF_Moderate,NaturalGas_CCCCSAvgCF_Moderate,NaturalGas_CCS100_Moderate,ERC_nuclear_1,LandbasedWind_Class3_Moderate_130,UtilityPV_Class1_Moderate_100_0.2,Liion_Moderate,TEGS
t53,30973.109897129016,0.0,0.0,0.0,7809.756862364891,9630.06906035145,1.0738466153634723e-11,0.0,0.0,0.0,0.0
t54,30973.109897129016,0.0,0.0,0.0,7809.756862364891,9630.06906035145,1.0738466153634723e-11,0.0,0.0,0.0,0.0
t55,30973.109897129016,0.0,0.0,0.0,7809.756862364891,9630.06906035149,1.0738466153634723e-11,0.0,0.0,0.0,0.0
t56,30973.109897129016,0.0,0.0,0.0,7809.756862364891,9630.06906035149,1.0738466153634723e-11,0.0,0.0,0.0,0.0
t57,30973.109897129016,0.0,0.0,0.0,7809.756862364891,9630.069060351394,1.0738466153634723e-11,0.0,0.0,0.0,0.0
t58,30973.109897129016,0.0,0.0,0.0,7809.756862364891,9630.069060351394,2.023319857456593e-12,0.0,0.0,0.0,0.0
t59,30973.109897129016,0.0,0.0,0.0,0.0,0.0,2.023319857456593e-12,0.0,0.0,0.0,0.0
t60,30973.109897129016,0.0,0.0,0.0,0.0,0.0,2.023319857456593e-12,0.0,0.0,0.0,0.0
t61,30973.109897129016,0.0,0.0,0.0,0.0,0.0,2.023319857456593e-12,0.0,0.0,0.0,0.0
t62,30973.109897129016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t63,30973.109897129016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t64,30973.109897129016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t65,30973.109897129016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t66,30973.109897129016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t67,30973.109897129016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t68,30973.109897129016,0.0,0.0,0.0,0.0,5411.034880397618,0.0,0.0,0.0,0.0,0.0
t69,30973.109897129016,0.0,0.0,0.0,0.0,9619.61756515132,0.0,0.0,0.0,0.0,0.0
t70,30973.109897129016,0.0,0.0,0.0,0.0,9619.61756515132,0.0,0.0,0.0,0.0,0.0
t71,30973.109897129016,0.0,0.0,0.0,0.0,9619.61756515132,0.0,0.0,0.0,0.0,0.0
t72,30973.109897129016,0.0,0.0,0.0,0.0,9619.61756515132,0.0,0.0,0.0,0.0,0.0
t73,30973.109897129016,0.0,0.0,0.0,0.0,9619.61756515132,0.0,0.0,0.0,0.0,0.0
t74,30973.109897129016,0.0,0.0,0.0,0.0,9619.61756515132,0.0,0.0,0.0,0.0,0.0
t75,30973.109897129016,0.0,0.0,0.0,0.0,9619.61756515132,0.0,0.0,0.0,0.0,0.0
t76,30973.109897129016,0.0,0.0,0.0,0.0,9619.61756515132,0.0,0.0,0.0,0.0,0.0
t77,30973.109897129016,0.0,0.0,0.0,0.0,9619.61756515132,0.0,0.0,0.0,0.0,0.0
t78,30973.109897129016,0.0,0.0,0.0,0.0,9619.617565151304,0.0,0.0,0.0,0.0,0.0
t79,30973.109897129016,0.0,0.0,0.0,0.0,9619.617565151304,0.0,0.0,0.0,0.0,0.0
t80,30973.109897129016,0.0,0.0,0.0,0.0,9619.617565151304,0.0,0.0,0.0,0.0,0.0
t81,30973.109897129016,0.0,0.0,0.0,0.0,9619.617565151304,0.0,0.0,0.0,0.0,0.0
t82,30973.109897129016,0.0,0.0,0.0,0.0,9619.617565151304,0.0,0.0,0.0,0.0,0.0
t83,30973.109897129016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t84,30973.109897129016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t85,30973.109897129016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t86,30973.109897129016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t87,30973.109897129016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t88,30973.109897129016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t89,30973.109897129016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t90,30973.109897129016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t91,30973.109897129016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t92,30973.109897129016,0.0,0.0,0.0,404.65238676933023,9630.069060351443,0.0,0.0,0.0,0.0,0.0
t93,30973.109897129016,0.0,0.0,0.0,719.3820209232538,9630.069060351443,0.0,0.0,0.0,0.0,0.0
t94,30973.109897129016,0.0,0.0,0.0,719.3820209232538,9630.06906035145,0.0,0.0,0.0,0.0,0.0
t95,30973.109897129016,0.0,0.0,0.0,719.3820209232538,9630.06906035145,0.0,0.0,0.0,0.0,0.0
t96,30973.109897129016,0.0,0.0,0.0,719.3820209232538,9630.06906035145,0.0,0.0,0.0,0.0,0.0
t97,30973.109897129016,0.0,0.0,0.0,719.3820209232538,9630.06906035145,0.0,0.0,0.0,0.0,0.0
t98,30973.109897129016,0.0,0.0,0.0,719.3820209232538,9630.069060351518,0.0,0.0,0.0,0.0,0.0
t99,30973.109897129016,0.0,0.0,0.0,719.3820209232538,9630.069060351458,0.0,0.0,0.0,0.0,0.0
t100,30973.109897129016,0.0,0.0,0.0,719.3820209232538,9630.069060351458,0.0,0.0,0.0,0.0,0.0
t101,30973.109897129016,0.0,0.0,0.0,719.3820209232538,9630.069060351458,0.0,0.0,0.0,0.0,0.0
t102,30973.109897129016,0.0,0.0,0.0,719.3820209232538,9630.069060351458,0.0,0.0,0.0,0.0,0.0
t103,30973.109897129016,0.0,0.0,0.0,719.3820209232538,9630.069060351458,0.0,0.0,0.0,0.0,0.0
t104,30973.109897129016,0.0,0.0,0.0,719.3820209232538,9630.069060351458,0.0,0.0,0.0,0.0,0.0
t105,30973.109897129016,0.0,0.0,0.0,719.3820209232538,9630.069060351458,0.0,0.0,0.0,0.0,0.0
t106,30973.109897129016,0.0,0.0,0.0,719.3820209232538,9630.06906035145,0.0,0.0,0.0,0.0,0.0
t107,30973.109897129016,0.0,0.0,0.0,0.0,6392.37293656307,0.0,0.0,0.0,0.0,0.0
t108,30973.109897129016,0.0,0.0,0.0,0.0,6392.37293656307,9.5595121301252e-12,0.0,0.0,0.0,0.0
t109,30973.109897129016,0.0,0.0,0.0,0.0,6392.37293656307,9.5595121301252e-12,0.0,0.0,0.0,0.0
t110,30973.109897129016,0.0,0.0,0.0,0.0,6392.37293656307,9.5595121301252e-12,0.0,0.0,0.0,0.0
t111,30973.109897129016,0.0,0.0,0.0,0.0,6392.37293656307,9.5595121301252e-12,0.0,0.0,0.0,0.0
t112,30973.109897129016,0.0,0.0,0.0,0.0,6392.37293656307,9.5595121301252e-12,0.0,0.0,0.0,0.0
t113,30973.109897129016,0.0,0.0,0.0,0.0,6392.37293656307,9.5595121301252e-12,0.0,0.0,0.0,0.0
t114,30973.109897129016,0.0,0.0,0.0,0.0,6392.37293656307,9.5595121301252e-12,0.0,0.0,0.0,0.0
t115,30973.109897129016,0.0,0.0,0.0,0.0,6392.37293656307,9.5595121301252e-12,0.0,0.0,0.0,0.0
