Imports,Net Electric,Gross Electric,Recirc Power,Salt Heating,Fixed plant power,Var plant power,Reactor Thermal power,Turbine Thermal input,Tritium inventory,Tritium exports,Deuterium inventory,Deuterium imports,Commitment State,Storage Inventory,Charge per Hour,Discharge per Hour,Net charge rate
1.264111561857808e-6,4143.043762061746,6083.331510188094,1940.2877481263477,0.00024835287171412175,224.07040289757347,1270.8857431570243,15250.635018138299,15208.328775470232,0.06861933513025835,16086.17750161808,0.06662120695884341,16651.74975775133,22.407040289757347,0.0,0.0,0.0,0.0
1.2813010118947172e-6,3429.5572117056754,5138.23547289994,1708.6782611942645,0.0002482624812671729,189.35584505908713,1073.990814153818,12887.894925003786,12845.588682249849,0.06721796985386706,13089.117917923777,0.06921215624339891,13446.1247363919,18.935584505908714,0.0,0.0,0.0,0.0
1.2871417797073606e-6,3062.1357953509737,4651.543013067448,1589.4072177164746,0.0002482278897496095,171.4790235205479,972.5965922491589,11671.163775455418,11628.857532668619,0.06534614805012809,11939.962485219607,0.07135314498413703,12132.447887827133,17.147902352054793,0.0,0.0,0.0,0.0
1.2825338743701018e-6,3128.1805704322996,4739.027004892452,1610.846434460152,0.0002483551124147928,174.6924158071979,990.8224165789636,11889.873754897066,11847.56751223113,0.0663972944593111,11738.831162244487,0.0705659089105039,11720.260768829863,17.46924158071979,0.0,0.0,0.0,0.0
1.284170302016609e-6,2944.285497521916,4495.436556442104,1551.1510589201876,0.00024839003471379274,165.74503002969433,940.0744267815804,11280.897633738019,11238.591391105258,0.06460909769608768,11537.685546656303,0.07151068384463434,11484.452962446174,16.574503002969433,0.0,0.0,0.0,0.0
1.2848724353473689e-6,3213.11549681454,4851.533201314063,1638.4177044995226,0.0002483963064328652,178.82490426298295,1014.261198121355,12171.13924591196,12128.833003285157,0.0666115294786708,11883.458648236256,0.06924313453772933,11682.587181441893,17.882490426298297,0.0,0.0,0.0,0.0
1.2877323008317794e-6,3141.8813197426857,4757.175234364025,1615.2939146213384,0.0002484462752328735,175.3590162568801,994.6032961993051,11935.244328489393,11892.93808591006,0.0670378037520324,11873.95461003169,0.06850879892744964,11777.028947097884,17.53590162568801,0.0,0.0,0.0,0.0
1.2875990879804884e-6,3010.048864062843,4582.547785600327,1572.4989215374844,0.00024852420403089653,168.94472704141592,958.2225922529863,11498.675706506117,11456.369464000818,0.06421991065429862,11903.364338701618,0.07111395124186977,12059.965614334455,16.89447270414159,0.0,0.0,0.0,0.0
1.2742228585881025e-6,3319.906205339245,4992.989917458938,1673.0837121196942,0.00024864321532424026,184.02077424700312,1043.7313355105975,12524.781036039585,12482.474793647347,0.060880682039776465,13004.354738835966,0.07477301991168904,13313.141204100455,18.402077424700312,0.0,0.0,0.0,0.0
1.2505248696546491e-6,4534.341165848019,6601.6504805456125,2067.309314697594,0.00024887432667610446,243.10889335741126,1378.868818746978,16546.432443536713,16504.12620136403,0.06094107780439735,16537.701283144328,0.07532684318162583,16665.755759265834,24.310889335741127,0.0,0.0,0.0,0.0
1.2274937329776846e-6,6927.425916282935,9771.569936427095,2844.144020144161,0.0002488594190359791,359.54397633568476,2039.268441230179,24471.23108325458,24428.924841067736,0.06530473557269552,23844.39716350635,0.06927953042250042,23168.314703897253,35.954397633568476,0.0,0.0,0.0,0.0
1.2246948549712131e-6,8060.859164189138,11272.934221187257,3212.0750569981183,0.0002479097287641281,414.69091318613897,2352.0525421833727,28224.641796057193,28182.335552968143,0.06400976989759877,28410.585049373658,0.06986996366553473,28351.85286879452,41.4690913186139,0.0,0.0,0.0,0.0
1.2281904966585232e-6,8549.468046750784,11920.153544957679,3370.6854982068935,0.0002457954705620868,438.46405115789946,2486.8898475346455,29842.69010749179,29800.383862394196,0.06287702854613206,30005.33332651677,0.07410209514774554,30754.518823386377,43.84640511578995,0.0,0.0,0.0,0.0
1.2101661189303213e-6,8690.614074537234,12107.117461622365,3416.503387085133,1.3791997943177632e-5,445.33135328119374,2525.8406662930634,30310.10011955681,30267.793654055917,0.06448823768515757,30078.614717410597,0.07436152250278091,30365.994723258074,44.53313532811937,0.0,0.0,0.0,0.0
1.2064371810080977e-6,7655.914926712722,10736.538451146927,3080.623524434206,0.00024898829475153027,394.98845368780104,2240.303468039232,26883.652369931733,26841.34612786732,0.06844106579576675,26315.825045726357,0.07147254356324002,26261.21094348721,39.4988453687801,0.0,0.0,0.0,0.0
1.1930676257800803e-6,6160.711851493845,8755.967870377868,2595.2560188840243,0.0002488376990521597,322.23965422229895,1827.6847621051486,21932.22591815215,21889.919675944675,0.06815671846764021,21973.00525099532,0.07258316185651568,22171.5128251075,32.223965422229895,0.0,0.0,0.0,0.0
1.231908944382249e-6,6382.2138494102355,9049.373055990036,2667.159206579803,0.00024885701299622476,333.0167860148561,1888.8108179890557,22665.738882164223,22623.432639975093,0.06850075502616167,22616.260022473172,0.07246765490362359,22640.85247280402,33.30167860148561,0.0,0.0,0.0,0.0
1.2586312445977236e-6,7543.37316741443,10587.463776668106,3044.0906092536757,0.0002484493175155592,389.51275043044427,2209.2462566550357,26510.965684246705,26468.659441670265,0.06986361415273296,26315.14705972932,0.07009114908835347,25998.9385284359,38.951275043044426,0.0,0.0,0.0,0.0
