Time_Index,res_hydro_1,natural_gas_ccs_2,solar_pv_2,comm_solar_pv_2,res_solar_pv_2,onshore_wind_2,battery_2,fixed_offshore_wind_2,float_offshore_wind_2,natural_gas_2,nuclear_2,ror_hydro_2,pumped_hydro_2,fusion_2
52617,0.262,1,0.283228921,0.162311959,0.149239855,0.321744183,1,0.603580981,0.603580981,1,1,0.552743642,1,1
52618,0.262,1,0.473481164,0.271341129,0.249488152,0.370852065,1,0.539126856,0.539126856,1,1,0.552743642,1,1
52619,0.262,1,0.549095193,0.314673784,0.289330929,0.431707465,1,0.491648323,0.491648323,1,1,0.552743642,1,1
52620,0.262,1,0.64036879,0.366980576,0.337425093,0.406541155,1,0.591337619,0.591337619,1,1,0.552743642,1,1
52621,0.262,1,0.753776983,0.431972194,0.397182487,0.456227213,1,0.714094931,0.714094931,1,1,0.552743642,1,1
52622,0.262,1,0.749366229,0.429444493,0.394858359,0.447994185,1,0.779144064,0.779144064,1,1,0.552743642,1,1
52623,0.262,1,0.558259011,0.319925356,0.294159556,0.49364321,1,0.805066003,0.805066003,1,1,0.552743642,1,1
52624,0.262,1,0.276421466,0.158410763,0.145652849,0.551759205,1,0.81,0.81,1,1,0.552743642,1,1
52625,0.262,1,0.0,0.0,0.0,0.565092158,1,0.81,0.81,1,1,0.552743642,1,1
52626,0.262,1,0.0,0.0,0.0,0.5626969,1,0.81,0.81,1,1,0.552743642,1,1
52627,0.262,1,0.0,0.0,0.0,0.60610526,1,0.81,0.81,1,1,0.552743642,1,1
52628,0.262,1,0.0,0.0,0.0,0.645992385,1,0.81,0.81,1,1,0.552743642,1,1
52629,0.262,1,0.0,0.0,0.0,0.722130714,1,0.81,0.81,1,1,0.552743642,1,1
52630,0.262,1,0.0,0.0,0.0,0.722128148,1,0.81,0.81,1,1,0.552743642,1,1
52631,0.262,1,0.0,0.0,0.0,0.713657755,1,0.81,0.81,1,1,0.552743642,1,1
52632,0.262,1,0.0,0.0,0.0,0.66045394,1,0.81,0.81,1,1,0.552743642,1,1
52633,0.262,1,0.0,0.0,0.0,0.664422434,1,0.81,0.81,1,1,0.552743642,1,1
52634,0.262,1,0.0,0.0,0.0,0.608981071,1,0.81,0.81,1,1,0.552743642,1,1
52635,0.262,1,0.0,0.0,0.0,0.583734729,1,0.81,0.81,1,1,0.552743642,1,1
52636,0.262,1,0.0,0.0,0.0,0.555878141,1,0.81,0.81,1,1,0.552743642,1,1
52637,0.262,1,0.0,0.0,0.0,0.477681153,1,0.81,0.81,1,1,0.552743642,1,1
52638,0.262,1,0.0,0.0,0.0,0.447898889,1,0.808747875,0.808747875,1,1,0.552743642,1,1
52639,0.262,1,0.0,0.0,0.0,0.516984926,1,0.804153686,0.804153686,1,1,0.552743642,1,1
52640,0.262,1,0.004647386,0.00266331,0.002448815,0.651148525,1,0.801074979,0.801074979,1,1,0.552743642,1,1
52641,0.262,1,0.129166994,0.074022623,0.06806107,0.621191926,1,0.807155095,0.807155095,1,1,0.552743642,1,1
52642,0.262,1,0.258188098,0.147961641,0.136045267,0.501251423,1,0.809261919,0.809261919,1,1,0.552743642,1,1
52643,0.262,1,0.363937495,0.20856418,0.191767065,0.512274086,1,0.809531167,0.809531167,1,1,0.552743642,1,1
52644,0.262,1,0.53735974,0.307948466,0.283147248,0.472278707,1,0.809125875,0.809125875,1,1,0.552743642,1,1
52645,0.262,1,0.451701649,0.258859791,0.238012023,0.431076024,1,0.805725,0.805725,1,1,0.552743642,1,1
52646,0.262,1,0.452842671,0.259513685,0.238613254,0.432856084,1,0.807993,0.807993,1,1,0.552743642,1,1
52647,0.262,1,0.541365967,0.310244343,0.285258221,0.419664577,1,0.809125875,0.809125875,1,1,0.552743642,1,1
52648,0.262,1,0.274178132,0.15712516,0.144470785,0.410079603,1,0.809542519,0.809542519,1,1,0.552743642,1,1
52649,0.262,1,0.0,0.0,0.0,0.492039577,1,0.809962352,0.809962352,1,1,0.552743642,1,1
52650,0.262,1,0.0,0.0,0.0,0.515312559,1,0.809541644,0.809541644,1,1,0.552743642,1,1
