Resource,Zone,AnnualSum,Capacity,CapacityFactor
natural_gas_ccs,1,1.2568496824214796e7,7572.990634713121,0.1894575050526781
solar_pv,1,2.0108067203313608e7,19202.164956693316,0.11954076359318828
onshore_wind,1,7.837791674563283e7,29768.441445906134,0.3005616127504676
battery,1,9.364630307386037e6,6102.705512171978,0.0
offshore_wind,1,958356.3195766528,328.0633773726969,0.33347643745092925
natural_gas,1,65526.287571521985,709.971363632227,0.010535875384933826
nuclear,1,0.0,0.0,0.0
fusion,1,1.1896744334043542e7,4317.806669510356,0.3145290980278164
