Region,Resource,Zone,Cluster,AnnualSum
ERC_REST,ERC_REST_biomass_1,1,1,1.7082318466887651e10
ERC_REST,ERC_REST_conventional_hydroelectric_1,1,1,0.0
ERC_REST,NaturalGas_CCAvgCF_Moderate,1,1,4.5887398784142176e-6
ERC_REST,NaturalGas_CTAvgCF_Moderate,1,1,6.437678066027577e8
ERC_REST,NaturalGas_CCCCSAvgCF_Moderate,1,1,4.274910268850985e9
ERC_REST,NaturalGas_CCS100_Moderate,1,1,4.4274581711811695e9
ERC_REST,ERC_nuclear_1,1,1,4.939963893413699e-7
ERC_REST,LandbasedWind_Class3_Moderate_130,1,1,1.8921290223966627e9
ERC_REST,UtilityPV_Class1_Moderate_100_0.2,1,1,6.110995476753797e9
ERC_REST,Liion_Moderate,1,1,3.639149370385206e9
ERC_REST,TEGS,1,1,1.0222627072996673e8
