Time_Index,res_hydro_1,natural_gas_ccs_2,solar_pv_2,comm_solar_pv_2,res_solar_pv_2,onshore_wind_2,battery_2,fixed_offshore_wind_2,float_offshore_wind_2,natural_gas_2,nuclear_2,ror_hydro_2,pumped_hydro_2,fusion_2
131401,0.262,1,0.0,0.0,0.0,0.460320801,1,0.585478954,0.585478954,1,1,0.552743642,1,1
131402,0.262,1,0.0,0.0,0.0,0.409592134,1,0.595257887,0.595257887,1,1,0.552743642,1,1
131403,0.262,1,0.0,0.0,0.0,0.376892516,1,0.614217703,0.614217703,1,1,0.552743642,1,1
131404,0.262,1,0.0,0.0,0.0,0.362478388,1,0.603627982,0.603627982,1,1,0.552743642,1,1
131405,0.262,1,0.0,0.0,0.0,0.298507177,1,0.610847631,0.610847631,1,1,0.552743642,1,1
131406,0.262,1,0.0,0.0,0.0,0.319574527,1,0.603638471,0.603638471,1,1,0.552743642,1,1
131407,0.262,1,0.0,0.0,0.0,0.359178998,1,0.579716468,0.579716468,1,1,0.552743642,1,1
131408,0.262,1,0.007946648,0.004554041,0.004187272,0.376592538,1,0.570759266,0.570759266,1,1,0.552743642,1,1
131409,0.262,1,0.160024113,0.091706126,0.084320398,0.398271878,1,0.51858963,0.51858963,1,1,0.552743642,1,1
131410,0.262,1,0.299545445,0.171662582,0.157837408,0.428768227,1,0.493838134,0.493838134,1,1,0.552743642,1,1
131411,0.262,1,0.346848124,0.198770656,0.182762281,0.337500387,1,0.505507926,0.505507926,1,1,0.552743642,1,1
131412,0.262,1,0.505445128,0.289658939,0.266330702,0.367098863,1,0.495254859,0.495254859,1,1,0.552743642,1,1
131413,0.262,1,0.163297012,0.093581749,0.086044964,0.406120736,1,0.51881779,0.51881779,1,1,0.552743642,1,1
131414,0.262,1,0.129127431,0.073999951,0.068040223,0.471377581,1,0.592792004,0.592792004,1,1,0.552743642,1,1
131415,0.262,1,0.222996645,0.127794231,0.117502078,0.442258564,1,0.597926064,0.597926064,1,1,0.552743642,1,1
131416,0.262,1,0.093516318,0.053592044,0.049275906,0.400345498,1,0.550679581,0.550679581,1,1,0.552743642,1,1
131417,0.262,1,0.0,0.0,0.0,0.359022557,1,0.577033736,0.577033736,1,1,0.552743642,1,1
131418,0.262,1,0.0,0.0,0.0,0.370294437,1,0.5802961,0.5802961,1,1,0.552743642,1,1
131419,0.262,1,0.0,0.0,0.0,0.419635814,1,0.636200425,0.636200425,1,1,0.552743642,1,1
131420,0.262,1,0.0,0.0,0.0,0.441623838,1,0.691046954,0.691046954,1,1,0.552743642,1,1
131421,0.262,1,0.0,0.0,0.0,0.409876303,1,0.74914296,0.74914296,1,1,0.552743642,1,1
131422,0.262,1,0.0,0.0,0.0,0.472804375,1,0.790512336,0.790512336,1,1,0.552743642,1,1
131423,0.262,1,0.0,0.0,0.0,0.442562288,1,0.789164362,0.789164362,1,1,0.552743642,1,1
131424,0.262,1,0.0,0.0,0.0,0.517181994,1,0.807302962,0.807302962,1,1,0.552743642,1,1
131425,0.262,1,0.0,0.0,0.0,0.500058268,1,0.81,0.81,1,1,0.552743642,1,1
131426,0.262,1,0.0,0.0,0.0,0.471624483,1,0.81,0.81,1,1,0.552743642,1,1
131427,0.262,1,0.0,0.0,0.0,0.553703004,1,0.81,0.81,1,1,0.552743642,1,1
131428,0.262,1,0.0,0.0,0.0,0.498944307,1,0.81,0.81,1,1,0.552743642,1,1
131429,0.262,1,0.0,0.0,0.0,0.489621518,1,0.81,0.81,1,1,0.552743642,1,1
131430,0.262,1,0.0,0.0,0.0,0.472866602,1,0.81,0.81,1,1,0.552743642,1,1
131431,0.262,1,0.0,0.0,0.0,0.502414915,1,0.81,0.81,1,1,0.552743642,1,1
131432,0.262,1,0.031645785,0.018135469,0.016674894,0.519675512,1,0.809203701,0.809203701,1,1,0.552743642,1,1
131433,0.262,1,0.307870171,0.17643329,0.162223898,0.474449379,1,0.805868363,0.805868363,1,1,0.552743642,1,1
131434,0.262,1,0.532721442,0.305290365,0.280703221,0.406523125,1,0.790104961,0.790104961,1,1,0.552743642,1,1
131435,0.262,1,0.65221656,0.373770259,0.343667957,0.357276255,1,0.738959131,0.738959131,1,1,0.552743642,1,1
131436,0.262,1,0.78484804,0.4497783,0.413554544,0.37073146,1,0.628216404,0.628216404,1,1,0.552743642,1,1
131437,0.262,1,0.737247766,0.422499681,0.388472861,0.390139888,1,0.499217941,0.499217941,1,1,0.552743642,1,1
131438,0.262,1,0.709544353,0.406623495,0.373875294,0.436101735,1,0.402795922,0.402795922,1,1,0.552743642,1,1
131439,0.262,1,0.530264496,0.303882346,0.2794086,0.408094837,1,0.328264099,0.328264099,1,1,0.552743642,1,1
131440,0.262,1,0.261412402,0.149809415,0.137744227,0.380868847,1,0.312628735,0.312628735,1,1,0.552743642,1,1
131441,0.262,1,0.0,0.0,0.0,0.348998111,1,0.364869418,0.364869418,1,1,0.552743642,1,1
